sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
external--(eds)-outstanding-total-external-debt						49,211.62	54,811.50	52,411.81	51,603.94	46,585.70	44,839.40	42,914.10	39,905.30	37,098.10																																																																																							
eds-general-government-short-term						3.57	118.56	59.58	166.73	79.73	33.41	398.80	507.30	576.00																																																																																							
eds-general-government-long-term						28,182.97	34,130.47	31,951.81	31,188.24	27,117.67	24,647.41	23,733.30	21,782.80	21,547.40																																																																																							
eds-central-bank-short-term						342.84	456.49	432.49	595.82	536.15	482.68	443.10	290.80	232.30																																																																																							
eds-central-bank-long-term						2,347.58	1,861.63	1,542.17	1,328.60	1,485.55	2,340.21	1,820.70	2,664.80	3,318.10																																																																																							
eds-deposit-taking-corporations-short-term						5,507.20	5,518.83	5,352.60	5,140.37	5,247.09	5,762.46	4,746.60	3,883.60	3,701.00																																																																																							
eds-deposit-taking-corporations-long-term						1,150.12	1,478.03	2,006.64	3,570.67	3,543.36	3,393.39	3,386	2,874.70	1,214.80																																																																																							
eds-other-sectors-short-term						2,340.86	2,155.99	2,184.40	1,930.14	1,483.23	1,374.56	1,674.40	2,088.50	1,909.70																																																																																							
eds-other-sectors-long-term						4,335.36	4,313.12	4,472.50	4,351.61	4,291.11	4,192.14	4,167.10	3,712.60	2,823.30																																																																																							
eds-direct-investment-intercompany-lending						5,001.12	4,778.38	4,409.62	3,331.77	2,801.82	2,613.14	2,544	2,100.20	1,775.60																																																																																							
