sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
no.-of-consumers-western-total			1,103,344.00	1,062,489	1,026,852.00	986,928	937,246	878,379	833,648	782,514	738,367	687,558	654,308	627,855	600,270	567,372	533,081	502,410	470,033	435,936	408,315	375,601	306,541																																																																														
no.-of-consumers-central-total			291,357.00	282,214	272,559.00	261,356	248,735	236,052	224,217	211,940	198,512	179,688	164,259	148,470	139,414	128,029	113,711	98,691	88,555	79,589	73,733	61,495	57,384																																																																														
no.-of-consumers-southern-total			343,093.00	330,915	320,351.00	312,024	303,423	293,217	276,334	260,842	239,719	222,472	203,820	188,550	172,663	153,549	137,469	122,258	116,852	112,184	105,736	95,800	84,746																																																																														
no.-of-consumers-northern-total			31,575.00	28,064	24,199.00	21,653	17,817	14,834	12,189	9,088	7,922	7,087	6,456	5,631	5,435	5,083	4,439	3,866	3,051	2,404	1,780	785	752																																																																														
no.-of-consumers-eastern-total			303,391.00	286,003	264,831.00	243,424	216,552	185,298	163,349	144,321	125,123	106,066	95,169	85,061	74,942	54,997	49,313	43,533	37,479	34,563	32,606	29,312	24,906																																																																														
no.-of-consumers-north-western-total			95,308.00	87,855	82,548.00	78,036	73,782	69,182	64,030	58,808	53,930	46,686	40,947	36,347	32,684	28,470	26,218	23,178	21,639	19,467	18,697	17,192	24,947																																																																														
no.-of-consumers-north-central-total			144,495.00	131,995	121,541.00	114,351	107,686	100,668	91,900	85,912	80,314	67,294	62,579	55,669	50,026	39,851	33,363	30,016	28,088	25,511	23,537	21,810	20,804																																																																														
no.-of-consumers-uva-total			120,006.00	109,115	103,307.00	94,794	86,273	81,307	76,064	68,955	63,248	59,192	56,771	52,624	49,157	44,178	39,662	36,226	31,777	30,428	27,761	25,298	21,916																																																																														
no.-of-consumers-sabaragamuwa-total			127,668.00	118,854	112,466.00	106,606	100,957	94,784	90,267	85,367	80,528	73,258	69,264	66,121	62,340	57,363	52,139	47,444	44,031	42,652	40,770	37,873	22,226																																																																														
no.-of-consumers-sri-lanka-total			2,560,237	2,437,504	2,328,654	2,219,172	2,092,471	1,953,721	1,831,998	1,707,747	1,587,663	1,449,301	1,353,573	1,266,328	1,186,931	1,078,892	989,395	907,622	841,505	782,724	732,935	665,166	564,222																																																																														
quantity-of-water-western-total			305.60	292	284.50	274.10	268.90	242.10	230.30	215.40	210.50	194.50	184.60	179.50	179.30	175.20	164.80	161.50	155.10	148.94	149.89	146.77	121.56																																																																														
quantity-of-water-central-total			61.30	58.70	55.00	53.40	51.10	45.90	43.30	39.90	40.20	37.00	33.80	32.40	31.30	29.10	22.40	21.30	19.80	18.15	16.57	15.77	17.22																																																																														
quantity-of-water-southern-total			72.50	68.50	66.00	62.70	61.70	56.70	53.60	49.20	47.00	43.20	39.30	36.60	34.70	29.90	28.50	26.40	26.10	25.26	23.82	20.76	19.62																																																																														
quantity-of-water-northern-total			4.80	4.20	3.70	3.30	2.90	2.40	2.00	1.60	1.50	1.50	1.40	1.40	1.50	1.40	1.30	1.20	1.00	0.78	0.75	0.25	0.23																																																																														
quantity-of-water-eastern-total			53.10	48.30	43.50	39.10	34.90	28.30	24.90	21.60	20.00	17.90	16.90	15.60	13.80	11.80	11.00	10.10	9.50	8.46	8.40	7.75	6.74																																																																														
quantity-of-water-north-western-total			20.20	18.80	17.10	15.40	15.40	13.60	13.00	11.50	10.70	10.20	9.30	8.80	8.30	7.80	6.80	6.70	6.10	6.10	5.87	6.79	9.60																																																																														
quantity-of-water-north-central-total			31.20	28.40	25.40	24.50	23.80	20.80	19.20	17.50	17.00	15.30	14.00	13.10	10.80	10.20	9.10	8.40	7.80	7.72	7.19	7.40	6.90																																																																														
quantity-of-water-uva-total			21.00	19.50	18.30	17.10	16.60	14.60	14.00	12.70	12.40	11.70	11.10	10.30	9.90	9.20	10.50	7.90	7.50	7.11	7.05	6.94	6.04																																																																														
quantity-of-water-sabaragamuwa-total			24.40	22.30	20.60	19.90	19.50	17.20	15.80	14.60	14.20	13.10	12.30	11.80	11.40	11.00	10.50	10.00	9.50	8.95	8.85	7.62	5.67																																																																														
quantity-of-water-sri-lanka-total			594.00	560.80	534.10	509.50	494.70	441.70	416.20	384	373.50	344.30	322.60	309.60	300.90	285.60	264.90	253.50	242.49	231.49	228.39	220.05	193.58																																																																														
revenue-billed-western-total			16,425.20	16,177.80	15,822.80	15,061.00	14,732.70	12,641.70	12,159.20	11,454.80	9,652.00	8,611.20	8,139.20	7,376.30	5,356.90	5,300.00	4,968.50	4,168.30	3,154.40	3,099.92	2,879.37	2,530.49	1,853.54																																																																														
revenue-billed-central-total			2,383.00	2,276.50	2,111.50	2,044.00	1,925.60	1,648.40	1,595.60	1,442.50	1,475.10	1,029.90	919.10	804.70	514.70	455.20	375.90	321.10	237.30	219.49	176.81	157.06	145.15																																																																														
