sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-western			66,843.00	61,380	55,287.00	52,651	54,325	49,434	38,582	34,435	31,358	28,616	27,675	25,269	20,808	20,459	17,671	13,625	10,609	9,001	7,923	n.a.	6,543	5,870																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-central			39,806.00	37,567	32,278.00	30,355	29,300	27,998	21,672	20,010	18,000	16,926	15,845	14,787	12,334	11,560	10,048	8,026	6,260	5,433	4,652	n.a.	4,020	1,876																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-southern			37,797.00	33,314	29,693.00	27,548	28,191	25,637	20,146	17,759	16,381	15,740	13,735	13,000	10,789	11,560	9,412	7,239	5,855	5,129	4,333	n.a.	3,783	3,396																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-northern			26,628.00	24,463	22,109.00	20,438	19,313	18,373	13,925	12,002	10,655	9,707	8,676	7,821	6,351	6,726	-	-	-	-	-	n.a.	-	-																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-eastern			29,193.00	26,012	24,586.00	22,052	20,276	19,886	15,447	19,128	12,807	12,076	10,890	9,882	7,692	7,679	-	-	-	-	-	n.a.	-	-																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-north-western			35,338.00	34,031	30,465.00	28,527	28,017	26,598	21,162	9,797	17,283	16,552	14,981	14,406	12,131	12,478	10,098	7,616	5,997	5,232	4,344	n.a.	3,704	3,710																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-north-central			21,342.00	19,922	18,090.00	17,030	16,732	14,848	11,597	13,072	8,903	8,196	7,934	7,397	6,015	6,118	5,311	4,463	3,468	2,990	2,563	n.a.	2,233	3,416																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-uva			25,157.00	22,749	20,307.00	20,069	19,386	18,590	13,871	13,899	11,255	10,101	9,079	8,801	7,007	6,791	5,623	4,412	3,464	2,897	2,359	n.a.	2,011	3,634																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-sabaragamuwa			29,975.00	27,447	24,115.00	22,668	22,116	20,858	15,729	14,027	12,477	11,687	10,347	9,972	8,272	8,442	6,579	5,197	4,024	3,574	3,048	n.a.	2,680	2,400																																																																													
revenue-and--expenditure-recurrent-(inclu.-local-govt.)-total			312,078	533,905	256,930	241,338	237,655	222,223	172,131	154,129	139,120	129,601	119,162	111,334	91,339	76,580	76,428	59,128	46,309	39,801	33,481	28,856	-	26,264	25,230	22,055	20,941																																																																										
revenue-and--expenditure-capital-expenditure-western			99.00	111	10,898.00	7,158	6,218	4,654	6,986	6,062	6,065	2,940	1,451	3,310	1,065	824	639	868	538	1,021	392	n.a.	483	737																																																																													
revenue-and--expenditure-capital-expenditure-central			202.00	249	1,922.00	1,477	2,665	1,513	1,507	1,545	1,545	1,875	1,796	2,027	301	280	310	268	201	141	198	n.a.	346	113																																																																													
revenue-and--expenditure-capital-expenditure-southern			1,993.00	2,197	4,939.00	5,430	3,507	2,025	1,969	1,399	1,399	1,980	1,769	1,613	440	691	501	511	334	483	309	n.a.	364	247																																																																													
revenue-and--expenditure-capital-expenditure-northern			55.00	265	2,373.00	3,659	2,772	1,798	1,217	1,032	1,032	1,302	1,500	1,545	85	105	-	-	-	-	-	n.a.	-	-																																																																													
revenue-and--expenditure-capital-expenditure-eastern			96.00	248	1,309.00	2,749	1,954	1,393	1,188	902	830	964	1,195	1,367	258	117	-	-	-	-	-	n.a.	-	-																																																																													
revenue-and--expenditure-capital-expenditure-north-western			130.00	250	1,927.00	2,806	1,951	1,649	2,918	1,850	1,085	1,629	1,547	1,549	306	329	319	246	116	159	248	n.a.	287	254																																																																													
revenue-and--expenditure-capital-expenditure-north-central			144.00	282	2,863.00	3,012	3,121	1,980	1,578	298	1,687	2,432	1,934	1,585	154	264	214	201	123	105	107	n.a.	135	231																																																																													
revenue-and--expenditure-capital-expenditure-uva			195.00	372	2,395.00	2,911	2,284	1,824	2,312	1,355	1,739	1,330	1,981	2,071	105	155	56	97	82	67	99	n.a.	156	182																																																																													
revenue-and--expenditure-capital-expenditure-sabaragamuwa			313.00	395	2,412.00	4,539	3,497	3,351	2,234	1,417	1,482	1,408	1,426	1,663	273	285	227	159	243	129	105	n.a.	211	160																																																																													
revenue-and--expenditure-capital-expenditure-total			3,527	15,003	31,040	33,742	27,967	20,187	21,908	16,861	16,864	15,860	14,599	16,729	2,987	2,610	2,397	2,544	1,798	2,268	1,541	2,138	-	2,433	1,507	1,400	1,187																																																																										
revenue-and--expenditures-total-western			66,941.00	61,491	66,185.00	59,810	60,544	54,088	45,568	40,497	37,423	31,556	29,126	28,579	21,873	21,283	18,310	14,493	11,148	10,022	8,315	n.a.	7,026	7,023																																																																													
revenue-and--expenditures-total-central			40,008.00	37,816	34,200.00	31,832	31,964	29,511	23,179	21,555	19,545	18,801	17,641	16,814	12,635	11,840	10,358	8,294	6,461	5,574	4,850	n.a.	4,366	2,322																																																																													
revenue-and--expenditures-total-southern			39,790.00	35,510	34,632.00	32,978	31,698	27,662	22,115	19,158	17,780	17,720	15,504	14,613	11,229	12,251	9,913	7,750	6,189	5,612	4,642	n.a.	4,147	4,423																																																																													
revenue-and--expenditures-total-northern			26,883.00	24,729	24,483.00	24,097	22,084	20,171	15,142	13,034	11,687	11,009	10,176	9,365	6,436	6,831	-	-	-	-	-	n.a.	-	-																																																																													
revenue-and--expenditures-total-eastern			29,388.00	26,259	25,895.00	24,800	22,230	21,279	16,635	20,029	13,637	13,040	12,085	11,249	7,950	7,796	-	-	-	-	-	n.a.	-	-																																																																													
revenue-and--expenditures-total-north-western			35,468.00	34,281	32,392.00	31,333	29,968	28,247	24,080	11,647	18,368	18,181	16,528	15,954	12,437	12,807	10,417	7,862	6,113	5,391	4,592	n.a.	3,991	4,350																																																																													
