sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Banking Sector-Number of Branches KANDY			233	233	231	229	217	211	209	202	198	189	173	164	155																																																																																						
Banking Sector-Number of Branches KEGALLE			125	123	123	123	129	127	125	122	122	119	114	105	102																																																																																						
Banking Sector-Number of Branches KILINOCHCHI			22	22	22	22	18	17	17	17	17	15	9	4	4																																																																																						
Banking Sector-Number of Branches KURUNEGALA			215	211	210	205	191	190	191	182	179	175	161	152	150																																																																																						
Banking Sector-Number of Branches MANNER			25	25	25	25	20	20	20	20	19	18	15	14	8																																																																																						
Banking Sector-Number of Branches MATALE			76	75	73	72	83	83	82	80	78	72	68	64	62																																																																																						
Banking Sector-Number of Branches MATARA			144	144	144	142	143	140	139	135	131	124	116	114	105																																																																																						
Banking Sector-Number of Branches MONARAGALA			80	79	77	77	72	71	70	68	65	63	60	50	48																																																																																						
Banking Sector-Number of Branches MULATIVU			24	24	24	24	19	19	19	19	18	14	4	4	4																																																																																						
Banking Sector-Number of Branches NUWARA ELIYA			87	87	87	87	92	91	90	88	87	84	81	78	74																																																																																						
Banking Sector-Number of Branches POLONNARUWA			74	73	72	72	75	70	70	70	68	64	59	52	48																																																																																						
Banking Sector-Number of Branches PUTTALAM			128	127	125	123	132	129	127	125	123	116	107	96	91																																																																																						
Banking Sector-Number of Branches RATNAPURA			149	149	148	147	145	143	143	140	137	131	125	112	107																																																																																						
Banking Sector-Number of Branches TRINCOMALEE			64	64	64	64	58	58	59	57	56	53	40	34	26																																																																																						
Banking Sector-Number of Branches VAVUNIYA			32	32	32	32	37	37	37	37	34	31	23	19	9																																																																																						
Banking Sector-Number of Other Banking Outlets AMPARA			133	133	159	159	159	159	159	158	158	157	157	157	149																																																																																						
Banking Sector-Number of Other Banking Outlets ANURADHAPURA			243	243	200	200	200	200	200	200	200	198	198	198	183																																																																																						
Banking Sector-Number of Other Banking Outlets BADULLA			163	163	147	147	147	147	147	147	147	146	146	146	137																																																																																						
Banking Sector-Number of Other Banking Outlets BATTICOLOA			91	91	52	52	52	52	52	48	43	43	43	43	43																																																																																						
Banking Sector-Number of Other Banking Outlets COLOMBO			316	316	284	284	284	284	284	284	284	287	287	288	273																																																																																						
Banking Sector-Number of Other Banking Outlets GALLE			210	210	209	209	209	209	209	209	209	192	192	192	180																																																																																						
Banking Sector-Number of Other Banking Outlets HAMBANTOTA			120	119	105	105	105	105	105	105	105	105	105	105	105																																																																																						
Banking Sector-Number of Other Banking Outlets JAFFNA			346	344	141	141	141	141	141	141	141	141	141	141	131																																																																																						
Banking Sector-Number of Other Banking Outlets KALUTARA			92	92	87	87	87	87	88	88	88	88	88	88	88																																																																																						
Banking Sector-Number of Other Banking Outlets KANDY			241	241	207	207	207	207	207	206	206	190	190	190	178																																																																																						
Banking Sector-Number of Other Banking Outlets KEGALLE			134	134	128	128	128	128	128	128	128	128	128	128	118																																																																																						
Banking Sector-Number of Other Banking Outlets KILINOCHCHI			9	9	10	10	10	10	10	10	10	10	10	10	10																																																																																						
Banking Sector-Number of Other Banking Outlets KURUNEGALA			352	352	193	193	193	193	193	193	193	193	193	193	180																																																																																						
Banking Sector-Number of Other Banking Outlets MANNER			19	19	19	19	19	19	19	19	19	19	19	19	19																																																																																						
Banking Sector-Number of Other Banking Outlets MATALE			94	94	114	114	114	114	114	114	114	99	99	99	99																																																																																						
