sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
by-province-dual-purpose-vehicles-western						147,231.00	156,681	130,794.00	127,117	149,444	147,961	135,263	130,577	125,642	116,467	105,831	100,840	102,613	106,571	102,821	99,469	91,835	85,794	81,720	76,324	74,283	73,844																																																																										
by-province-dual-purpose-vehicles-central						41,435.00	41,466	39,947.00	37,719	34,821	31,114	27,032	27,061	25,129	21,059	24,683	19,749	18,699	17,744	17,427	16,450	15,540	14,054	12,848	12,544	8,914	7,971																																																																										
by-province-dual-purpose-vehicles-southern						42,181.00	42,247	42,194.00	40,599	38,375	36,716	30,436	27,054	23,990	19,587	15,502	14,054	13,809	19,091	12,376	11,736	10,507	10,019	9,319	8,657	8,054	7,158																																																																										
by-province-dual-purpose-vehicles-northern						11,241.00	10,912	10,046.00	8,469	8,074	7,106	5,760	5,596	6,997	3,645	1,380	817	771	1,255	1,631	1,909	974	529	207	71	-	-																																																																										
by-province-dual-purpose-vehicles-eastern						15,458.00	15,476	14,988.00	14,225	13,493	11,929	9,607	8,720	7,689	6,736	4,291	2,550	2,384	2,216	2,574	2,407	2,166	1,967	1,121	1,234	577	545																																																																										
by-province-dual-purpose-vehicles-north-western						58,815.00	59,085	56,590.00	53,882	50,627	43,369	39,371	35,629	31,781	26,579	21,418	23,825	16,512	15,971	18,128	14,155	13,150	12,227	11,220	11,139	9,319	7,290																																																																										
by-province-dual-purpose-vehicles-north-central						26,438.00	26,320	25,797.00	24,888	23,828	21,372	15,051	14,687	12,362	9,439	6,974	4,595	4,992	4,780	4,751	4,438	4,279	3,800	3,457	3,081	1,888	1,568																																																																										
by-province-dual-purpose-vehicles-uva						20,253.00	21,289	18,669.00	17,485	17,077	14,992	11,366	10,172	9,545	6,751	5,524	5,337	4,581	4,952	4,539	3,914	3,985	3,454	3,020	2,810	2,479	2,156																																																																										
by-province-dual-purpose-vehicles-sabaragamuwa						27,534.00	27,968	24,528.00	25,523	21,386	21,983	18,670	17,187	13,041	9,411	9,306	8,438	6,848	8,343	7,271	6,280	5,817	5,300	4,544	4,263	3,957	3,609																																																																										
by-province-dual-purpose-vehicles-all-island						390,586	401,444	363,575	349,907	357,125	336,542	292,556	276,683	256,176	219,674	194,909	180,205	171,209	180,923	171,518	160,758	148,253	137,144	127,456	120,123	109,471																																																																											
by-province-land-vehicles-western						13,580.00	15,431	11,179.00	10,708	15,936	14,937	15,016	16,288	14,367	15,177	88,570	14,396	14,969	16,793	15,455	14,700	12,575	12,532	11,827	11,981	12,655	12,945																																																																										
by-province-land-vehicles-central						3,616.00	3,659	3,909.00	3,936	3,535	2,807	2,490	3,669	3,717	3,369	22,817	4,388	4,125	3,206	4,001	4,649	4,414	2,732	2,484	2,917	2,701	2,682																																																																										
by-province-land-vehicles-southern						13,460.00	13,589	14,710.00	14,812	14,810	14,276	13,578	14,698	15,252	16,700	19,255	15,736	15,429	20,268	14,814	13,629	11,687	12,103	11,201	11,178	11,232	9,778																																																																										
by-province-land-vehicles-northern						17,319.00	16,794	16,050.00	14,175	14,367	12,757	11,775	11,942	13,350	9,794	1,929	2,985	2,567	4,177	5,914	4,874	3,914	3,236	1,999	1,348	114	89																																																																										
