sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
by-province-motor-cycles-western			797,077.00	847,929	731,065.00	679,349	732,567	671,641	600,347	566,284	542,858	510,509	464,435	416,527	421,324	414,770	370,226	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-central			188,587.00	185,029	168,572.00	152,818	134,928	117,646	87,968	91,851	86,887	77,049	82,297	68,699	61,976	52,926	48,272	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-southern			424,054.00	414,247	392,793.00	367,631	351,563	325,046	257,722	237,881	226,123	210,699	182,996	161,631	151,512	184,132	123,709	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-northern			233,144.00	229,268	210,502.00	183,024	168,056	150,623	124,023	119,095	145,994	85,347	47,330	36,835	31,089	57,258	58,982	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-eastern			283,691.00	286,081	262,296.00	241,997	221,113	194,193	163,326	154,406	146,229	140,957	131,577	79,643	72,237	64,090	63,650	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-north-western			458,568.00	473,667	441,671.00	409,446	383,543	356,233	310,800	285,801	275,215	254,712	218,461	219,524	185,942	186,363	170,196	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-north-central			266,919.00	260,771	240,704.00	226,577	211,523	194,061	143,238	144,394	133,764	124,820	115,579	82,659	78,512	70,766	64,804	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-uva			152,112.00	137,859	122,971.00	114,808	106,352	91,369	72,356	65,335	62,938	60,813	46,667	44,358	37,209	36,304	31,824	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-sabaragamuwa			187,675.00	188,453	159,188.00	155,956	127,460	126,308	101,637	94,110	88,603	70,777	70,873	49,032	60,296	60,222	49,631	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																													
by-province-motor-cycles-all-island			2,991,828	3,023,304	2,729,762	2,531,606	2,437,105	2,227,120	1,861,417	1,759,157	1,708,611	1,535,683	1,360,215	1,158,908	1,100,097	1,126,831	981,294	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.																																																																														
