sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Estimated Coconut Production-Western			35.00	436	375.00	326	443	495	477	465	485	452	399	479	461	490	515	409																																																																																			
Estimated Coconut Production-Southern			315.00	333	346.00	312	353	355	332	319	336	411	309	305	334	349	376	323																																																																																			
Estimated Coconut Production-Northern			96.00	91	96.00	73	82	82	84	93	99	93	69	74	75	72	69	69																																																																																			
Estimated Coconut Production-North Western			1,066.00	1,250	995.00	991	1,196	1,265	1,180	972	1,276	1,147	940	1,265	1,242	1,207	1,227	1,063																																																																																			
Estimated Coconut Production-North Central			314.00	293	269.00	234	255	226	216	168	197	160	132	175	170	159	153	142																																																																																			
Estimated Coconut Production-Uva			130.00	133	110.00	91	108	96	143	115	123	135	90	143	146	97	86	94																																																																																			
Estimated Coconut Production-Sabaragamuwa			219.00	242	235.00	200	273	247	217	193	189	195	192	191	214	221	234	216																																																																																			
Paddy Production-Western			149.30	102.20	113.30	74.60	90.10	127.50	106.60	117.50	115.80	132.30	157.20	153.00	133.10	93.60	103.70	115.40																																																																																			
Paddy Production-Central			206.80	179	167.80	113.50	181.60	201.60	164.00	203.80	161.80	175.40	209.40	167.90	193.40	148.00	149.70	149.60																																																																																			
Paddy Production-Southern			493.60	450.40	525.60	329.80	414.70	507.50	429.50	402.20	332.30	367.30	384.30	368.90	362.10	313.20	279.70	273.50																																																																																			
Paddy Production-Northern			481.10	449	290.10	160.60	352.70	403.30	124.50	313.60	259.90	207.90	110.60	65.40	139.30	146.00	184.00	200.70																																																																																			
Paddy Production-Eastern			1,225.30	1,155.40	1,035.50	759.90	1,112.60	1,067.20	935.90	1,039.50	1,062.20	653.50	1,067.00	916.90	830.10	649.60	839.40	797.50																																																																																			
Paddy Production-North Western			766.70	607.40	447.00	152.30	627.30	630.00	496.90	688.00	330.40	625.60	576.20	579.10	587.80	424.90	442.80	369.30																																																																																			
Paddy Production-North Central			1,292.80	1,199.90	948.90	535.10	1,190.90	1,376.60	721.40	1,225.70	1,031.20	1,165.50	1,182.30	937.10	1,102.70	898.80	916.80	934.10																																																																																			
Paddy Production-Uva			371.80	342.50	293.20	201.20	344.40	379.50	289.00	381.20	324.40	296.60	323.00	193.40	294.30	256.80	213.80	204.20																																																																																			
Paddy Production-Sabaragamuwa			133.60	106.20	108.40	56.20	105.80	126.20	113.10	249.30	227.80	270.20	290.70	269.80	232.30	200.10	212.10	201.80																																																																																			
Paddy Net Extent Harvested-Western			41.20	29.40	33.40	22.50	26.30	36.40	34.80	36.90	36.10	46.00	48.70	48.20	43.20	29.60	34.20	40.50																																																																																			
Paddy Net Extent Harvested-Central			43.00	37.80	38.90	26.40	43.50	47.60	40.70	47.50	39.20	47.90	51.40	45.30	51.80	38.70	41.40	40.90																																																																																			
Paddy Net Extent Harvested-Southern			94.90	83.60	99.40	70.50	83.10	99.40	91.00	82.30	77.90	89.00	91.20	88.10	88.70	72.00	67.10	71.70																																																																																			
Paddy Net Extent Harvested-Northern			104.00	94.80	72.50	41.40	86.00	93.90	33.20	75.10	72.00	62.00	25.80	18.10	42.50	42.20	52.70	57.10																																																																																			
Paddy Net Extent Harvested-Eastern			267.10	259.20	247.10	186.10	263.50	254.00	217.70	268.40	235.70	167.50	226.50	197.60	179.20	140.00	198.10	202.10																																																																																			
Paddy Net Extent Harvested-North Western			167.30	134.30	106.10	35.90	160.80	170.40	129.60	158.60	85.90	176.60	144.50	152.50	165.70	107.00	121.70	111.00																																																																																			
Paddy Net Extent Harvested-North Central			240.60	225.70	191.00	110.00	240.10	268.60	152.20	260.40	210.20	255.00	225.10	188.70	230.90	178.50	190.60	193.40																																																																																			
Paddy Net Extent Harvested-Uva			78.60	69.70	69.40	46.20	82.40	86.50	64.80	87.30	75.70	76.80	74.10	44.40	70.60	59.40	51.30	50.00																																																																																			
Paddy Net Extent Harvested-Sabaragamuwa			29.60	23.20	26.80	15.70	25.30	31.60	29.00	50.80	50.60	60.20	62.60	59.00	53.00	46.60	50.60	52.50																																																																																			
Paddy Yield-Bushels per Acre-Central			93.00	92	84.00	83	81	82	78	83	80	71	79	72	72	74	70	71																																																																																			
Paddy Yield-Bushels per Acre-Eastern			89.00	86	81.00	79	82	81	83	75	87	76	91	90	90	90	82	77																																																																																			
Paddy Yield-Bushels per Acre-North Western			89.00	88	82.00	82	76	72	74	84	75	69	77	74	69	77	71	65																																																																																			
Paddy Yield-Bushels per Acre-North Central			104.00	103	96.00	94	96	99	92	91	95	89	102	96	93	98	93	94																																																																																			
Paddy Production					3,930	2,383	4,420	4,819	3,381	4,621	3,846	3,894	4,301	3,652	3,875	3,131	3,342	3,246	2,628	3,071	2,859	2,695	2,860	2,857	2,692	2,239																																																																											
