sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Paddy Yield-Bushels per Acre-Western			70.00	67	66.00	64	67	68	59	62	62	56	63	62	60	61	59	55																																																																																			
Paddy Yield-Bushels per Acre-Southern			101.00	105	103.00	91	97	99	91	95	83	80	82	81	79	84	81	74																																																																																			
Paddy Yield-Bushels per Acre-Northern			90.00	92	78.00	75	80	83	73	81	70	65	83	70	64	67	68	68																																																																																			
Paddy Yield-Bushels per Acre-Uva			92.00	95	82.00	84	81	85	86	85	83	75	85	84	81	84	81	79																																																																																			
Paddy Yield-Bushels per Acre-Sabaragamuwa			87.00	89	78.00	70	81	77	76	95	87	87	90	89	85	83	81	75																																																																																			
Paddy Yield-Kg per Hectare-Western			3,620.00	3,474	3,398.00	3,317	3,433	3,501	3,064	3,183	3,205	2,876	3,232	3,173	3,084	3,162	3,035	2,850																																																																																			
Paddy Yield-Kg per Hectare-Central			4,805.00	4,734	4,309.00	4,297	4,176	4,238	4,032	4,294	4,126	3,660	4,070	3,709	3,733	3,826	3,615	3,660																																																																																			
Paddy Yield-Kg per Hectare-Southern			5,200.00	5,390	5,285.00	4,680	4,988	5,108	4,717	4,884	4,263	4,129	4,215	4,186	4,084	4,349	4,166	3,816																																																																																			
Paddy Yield-Kg per Hectare-Northern			4,627.00	4,737	4,003.00	3,883	4,099	4,295	3,748	4,175	3,610	3,355	4,291	3,613	3,278	3,458	3,490	3,516																																																																																			
Paddy Yield-Kg per Hectare-Eastern			4,587.00	4,458	4,191.00	4,083	4,222	4,201	4,299	3,873	4,507	3,902	4,711	4,640	4,633	4,640	4,237	3,945																																																																																			
Paddy Yield-Kg per Hectare-North Western			4,582.00	4,524	4,213.00	4,247	3,902	3,697	3,834	4,337	3,845	2,543	3,987	3,796	3,547	3,973	3,638	3,327																																																																																			
Paddy Yield-Kg per Hectare-North Central			5,373.00	5,317	4,969.00	4,863	4,961	5,125	4,741	4,707	4,906	4,571	5,253	4,966	4,775	5,036	4,809	4,829																																																																																			
Paddy Yield-Kg per Hectare-Uva			4,732.00	4,915	4,227.00	4,354	4,178	4,388	4,457	4,364	4,284	3,860	4,358	4,356	4,170	4,326	4,168	4,085																																																																																			
Paddy Yield-Kg per Hectare-Sabaragamuwa			4,510.00	4,568	4,038.00	3,592	4,179	3,995	3,905	4,908	4,507	4,488	4,644	4,572	4,387	4,298	4,193	3,844																																																																																			
CARDAMOMS Production					0.53	0.63	0.67	0.54	0.58	0.62	0.56	0.58	0.57	0.48	0.46	0.50	0.69	0.71	0.75	1.05	1.01	1.00	0.06	0.07	0.06	0.08																																																																											
CASHEW Production					7.72	9.16	3.20	3.04	8.25	6.43	6.50	6.89	6.49	6.31	6.66	6.56	6.33	1.81		1.66	1.29	1.24	0.94	1.01	1.32	1.34																																																																											
CINNAMON Production					24.02	24.68	24.50	23.97	16.23	15.87	16.09	15.94	15.79	14.60	14.06	13.36	12.99	13.38	14.88	14.02	13.00	13.60	13.49	10.68	10.81	11.45																																																																											
CLOVES Production					5.51	7.29	8.30	8.10	5.59	3.92	4.02	3.87	3.77	3.79	3.99	3.07	3.14	3.26	3.58	2.36	4.10	2.70	1.70	4.18	4.28	2.33																																																																											
COCOA Production					2.12	1.49	1.72	1.50	1.81	1.61	1.75	1.63	1.73	1.75	1.72	1.44	1.56	1.88	0.60	1.10	1.10	1.28	1.30	1.30	1.15	1.71																																																																											
COFFEE Production					6.45	5.43	5.59	5.36	6.59	5.57	5.34	5.32	5.24	5.41	5.65	6.05	6.46	3.53	3.49	3.09	2.36	2.35	2.54	2.54	3.25	2.17																																																																											
MACE Production					0.10	0.20	0.19	0.19	0.21	0.30	0.19	0.21	0.25																																																																																								
NUTMEG Production					3.07	3.19	2.72	2.43	2.79	2.25	1.81	2.00	2.13	1.40	3.00	3.07	3.14	3.26	1.42	1.50	1.50	1.03	1.03	1.03	1.15	1.12																																																																											
PEPPER Production					48.25	35.14	32.15	35.46	27.85	26.73	25.64	25.77	26.62	25.30	24.47	19.39	18.60	18.29	18.56	17.86	17.70	17.09	10.68	10.68	9.28	3.91																																																																											
TOBACCO Production					5.90	7.11	11.23	6.02	3.70	5.04	3.76	3.84	4.20	3.81	3.77	3.54	4.07	3.53	4.10	4.12	3.75	3.95	5.42	4.24	4.26	4.75																																																																											
ASH PLANTAIN Production					81.20	72.70	82.23	85.09	81.34	88.68	101.83	93.21	87.32	77.63	78.57	77.35	64.64	69.65	73.67	72.94	68.32	71.43	84.22	78.97	78.85	72.60																																																																											
ASH PUMPKIN Production					8.92	8.79	12.02	8.72	9.29	9.15	10.88	9.79	10.55	9.58	9.92	10.04	5.93	7.69	5.76	7.32	6.36	5.63	5.79	6.38	7.10	6.52																																																																											
BANDAKKA Production					68.52	61.43	66.72	66.12	65.22	69.62	65.45	58.68	57.79	56.55	52.43	42.94	40.47	40.74	36.35	36.79	37.67	36.21	40.72	39.79	38.02	36.78																																																																											
BEANS Production					83.96	87.39	83.37	66.16	83.25	83.57	46.99	40.39	42.69	40.51	42.57	41.33	40.55	40.78	39.60	31.69	32.65	30.89	34.65	31.52	28.69	30.18																																																																											
ARECANUT Production					54.69	46.33	63.39	41.17	47.26	38.74	37.52	31.60	29.88	27.87	26.86	25.87	24.61	28.19	23.83	21.91	25.19	24.15	24.00	24.75	24.06	23.90																																																																											
BEATLE LEAVES Production					3.06	3.63	7.03	31.35	35.80	29.17	28.01	29.72	27.62	25.00	24.10	25.39	24.58	22.51	24.30	28.84	30.68	26.41	26.00	27.34	46.80	41.75																																																																											
