sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
SORGHUM Production					0.17	1.30	0.16	0.10	0.12																																																																																												
SOYA BEANS Production					2.50	14.36	7.95	11.25	6.80	13.45	1.67	3.85	7.52	3.79	3.03	4.80	5.18	4.99	1.89	2.96	1.16	0.62	0.65	0.80	0.60	0.42																																																																											
SWEET POTATOES Production					43.32	40.69	44.72	51.99	50.97	53.38	43.61	46.52	46.46	47.27	52.50	49.16	41.59	41.18	39.71	44.06	47.46	48.54	51.81	51.64	52.49	54.13																																																																											
RED ONIONS Production					61.07	57.75	63.68	61.20	63.04	55.59	73.97	72.34	61.81	46.23	49.29	57.04	60.75	53.73	39.46	35.51	35.33	36.86	42.50	42.65	38.04	44.80																																																																											
TUMERIC (RAW) Production					10.73	10.27	25.20	14.40	11.35	11.28	8.71	9.31	8.30																																																																																								
RED PUMPKIN Production					123.26	82.93	98.30	105.88	116.50	115.11	102.80	118.62	108.90	107.32	87.70	86.91	73.31	79.21	67.96	63.83	59.58	58.53	62.31	56.59	54.30	60.57																																																																											
SNAKE GOURD Production					33.51	28.85	31.92	44.06	38.64	40.07	38.33	43.78	32.83	33.42	32.45	25.04	21.20	19.98	21.01	18.18	19.39	17.33	19.12	19.18	18.20	19.04																																																																											
TOMATOES Production					101.40	80.84	92.75	79.55	86.12	86.23	82.25	76.11	75.34	73.92	84.95	65.16	60.94	56.80	53.77	44.97	41.24	40.98	43.95	39.71	36.44	32.47																																																																											
VATANA Production					11.46	8.53	8.57	9.74	7.67																																																																																												
WINGED BEAN Production					18.29	16.39	15.96	15.79	12.86																																																																																												
Sugar Production					51	56	61	56	52	53	36	35	31	32	39	29	56	54	58	57	38	48	64	66	61	64																																																																											
Marine Fish Production-All Island			326,930	415,490	439,370	449,440	456,990	452,890	459,300	445,930	417,220	385,270	332,260	293,170	274,630	252,670	215,980	130,400	253,190	254,680	274,760	254,890	267,680																																																																														
Inland Fish Production-All Island			101,810	90,340	87,690	81,870	73,930	67,300	75,750	66,910	68,950	59,560	52,410	46,560	44,490	38,380	35,290	32,830	33,180	30,280	28,130	29,870	36,700																																																																														
Total Fish Production			428,740	505,830	527,060	531,310	530,920	520,190	535,050	512,840	486,170	444,830	384,670	339,730	319,120	291,050	251,270	163,230	286,370	284,960	302,890	284,760	304,380																																																																														
National Milk Production					471.60	396.20	384.00	374.40	119.88	121.87	116.82	111.11	108.71	99.56	99.25	92.48	88.51	82.08	83.73	83.87	81.13	81.60	85.19	82.28	79.94	77.06																																																																											
Egg Production					1,972.20	2,072.90	2,059.70	1,898.86	1,721.30	1,636.84	1,457.10	1,185.32	1,139.94	1,142.24	1,039.00	1,212.00	901.18	864.55	874.60	884.88	890.74	946.09	923.02	897.98	875.83	854.87																																																																											
Beef Production					28.42	30.13	31.54	32.02	33.89	34.96	33.84	30.50	38.60	36.60	36.10	35.70	27.41	29.28	28.20	29.40	27.90	27.41	28.72	31.52	31.73	33.29																																																																											
Mutton Production					1.63	1.42	1.40	1.35	1.80	1.80	1.60	1.72	1.71	1.72	1.68	1.60	1.58	1.49	1.43	1.41	1.61	1.58	1.69	1.65	1.61	1.91																																																																											
Pork Production					10.43	7.89	7.28	7.18	7.06	7.04	7.03	6.70	10.40	11.80	11.10	14.90	12.50	11.00	10.30	2.16	1.86	1.95	1.75	1.65	1.92	2.15																																																																											
Poultry Production					205.82	200.98	182.69	164.45	150.98	144.54	137.39	116.76	104.16	99.28	102.52	100.06	95.00	97.26	94.70	88.06	85.70	82.06	63.17	57.00	59.05	57.70																																																																											
Agriculture Volume Index					125.80	113.60	127.20	127.57	119.88	121.87	116.82	111.11	108.71	99.56	99.25	92.48	88.51	82.08	83.73	83.87	81.13	81.60	85.19	82.28	79.94	77.06																																																																											
