sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
CABBAGE Production					111.14	99.62	123.37	117.10	105.55	104.51	73.38	69.76	62.83	62.77	77.07	63.84	59.23	63.77	60.51	52.22	49.34	53.94	53.42	52.44	47.38	37.56																																																																											
CAPSICUM Production					32.31	26.95	30.43	32.36	25.22	26.44	16.29	14.42	13.05	14.41	16.98	14.08	13.47	14.12	12.76	12.50	11.14	11.43	12.23	12.16	11.79	11.22																																																																											
CARROT Production					71.05	71.61	82.04	67.67	59.77	56.20	34.33	37.80	34.17	35.83	39.48	38.11	36.25	36.92	34.35	27.21	28.16	28.42	25.94	26.67	25.17	25.14																																																																											
CUCUMBER Production					43.94	31.45	38.29	47.58	37.13	39.33	32.34	32.05	33.63	31.76	31.07	28.29	24.62	26.69	22.90	23.39	20.99	18.45	20.13	19.38	19.08	18.27																																																																											
EGG PLANT Production					19.79	17.23	14.50	16.48	17.97																																																																																												
GHERKIN Production					5.83	1.68	1.52	1.98	2.86																																																																																												
KNOLKHOL Production					19.50	14.15	15.86	16.95	18.60	17.81	14.29	13.12	13.00	12.29	15.95	14.95	15.18	15.34	14.43	14.24	14.24	16.32	14.99	15.05	14.02	12.54																																																																											
LEEKS Production					51.33	56.05	61.12	41.43	37.90	24.66	35.44	31.55	26.07	26.79	27.12	29.11	13.76	28.45	29.72	22.42	23.15	24.19	21.97	19.83	17.57	18.75																																																																											
LONG BEAN Production					60.54	55.85	55.86	56.39	51.43																																																																																												
LUFFA Production					46.12	46.19	40.42	46.68	48.40	46.40	42.79	43.22	45.13																																																																																								
RADDISH Production					63.14	49.51	56.77	54.26	60.62	57.98	44.51	41.14	36.09	33.89	37.83	31.73	27.01	26.89	26.02	20.08	22.43	25.33	26.04	24.76	22.14	21.63																																																																											
