sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
KURAKKAN Production					8.06	5.57	8.57	8.92	8.85	7.01	5.98	5.41	7.31	6.43	6.51	5.46	6.30	6.45	4.67	5.27	4.07	4.19	4.85	4.81	4.39	3.50																																																																											
MAIZE Production					270.04	195.74	243.96	261.12	240.56	209.04	202.31	137.80	142.87	129.77	112.29	56.44	47.53	41.80	35.20	29.80	27.70	29.00	31.00	31.40	33.90	22.80																																																																											
MENERI Production					125.80	113.60	127.20	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.03	0.05	0.05	0.06	0.10	0.13	0.07	0.07	0.12	0.10	0.14	0.11																																																																											
GREEN GRAM Production					9.86	9.39	14.55	15.06	14.35	14.25	11.96	10.84	9.33	9.26	8.88	8.52	7.98	9.00	7.81	10.60	9.60	9.90	11.70	13.80	15.60	13.80																																																																											
COWPEA Production					9.86	9.39	13.74	12.28	15.12	14.19	14.81	10.45	11.61	13.49	11.95	10.86	10.11	11.18	9.16	12.90	10.44	9.84	12.12	12.10	13.40	13.98																																																																											
BLACK GRAM Production					11.85	7.33	11.20	11.90	9.66	9.18	10.18	5.78	9.99	7.07	9.48	7.75	7.47	6.92	4.96	5.94	5.09	5.13	5.42	6.73	8.05	6.85																																																																											
GINGELLY Production					8.59	7.75	14.91	13.29	14.16	14.24	12.44	11.29	16.95	8.53	6.34	6.30	5.97	6.16	4.35	5.49	4.07	4.21	4.60	7.77	5.72	6.63																																																																											
GROUND NUTS Production					27.60	22.47	24.20	28.50	25.43	27.49	21.95	16.90	14.35	13.08	10.25	9.83	9.82	9.03	7.93	6.58	5.73	6.46	7.07	6.54	6.26	5.26																																																																											
MANIOC Production					323.11	306.35	324.08	324.10	302.49	302.78	291.35	292.74	282.76	277.85	240.73	219.93	226.07	223.21	219.91	228.84	224.98	233.58	249.11	251.51	257.16	249.78																																																																											
POTATOES Production					88.90	73.36	95.81	97.39	82.37	78.75	72.19	59.36	60.36	61.70	74.82	77.38	78.49	79.45	81.27	71.70	88.70	57.80	48.40	27.20	25.90	65.80																																																																											
COCOYAM Production					33.37	34.97	36.86	35.97	27.53																																																																																												
INNALA Production					1.79	1.54	2.12	1.40	1.99																																																																																												
BIG ONIONS Production					28.05	53.60	65.22	89.32	101.17	69.64	83.56	45.68	58.93	81.71	57.37	92.17	73.62	55.55	37.51	32.31	31.56	31.97	36.56	62.72	17.44	29.14																																																																											
CHILLIES (GREEN) Production					79.00	51.83	72.31	62.87	71.13	71.18	61.54	41.65	49.00	46.41	51.31	48.70	50.66	52.87	40.47	46.19	46.35	49.04	55.86	60.07	62.47	72.23																																																																											
MUSTERD Production					0.22	0.19	0.22	0.25	0.26	0.19	0.15	0.17	0.41	0.30	0.31	0.25	0.26	0.31	0.18	0.28	0.19	0.17	0.25	0.23	0.25	0.28																																																																											
GINGER (RAW) Production					14.21	16.33	23.18	17.27	15.48	14.08	14.91	13.66	12.05																																																																																								
BEETROOT Production					51.00	34.19	45.10	50.17	52.72	46.89	35.51	28.50	27.96	26.66	25.95	27.35	23.60	22.56	19.64	15.57	16.50	17.74	17.24	16.48	14.96	14.78																																																																											
BITTER GOURD Production					47.61	37.01	42.10	43.51	46.48	46.14	44.10	42.15	41.39	39.69	38.14	30.02	26.89	25.44	26.09	20.12	20.88	18.62	20.80	20.55	20.56	19.61																																																																											
BRINJALS Production					129.21	108.86	127.19	123.63	123.32	129.91	127.16	116.59	107.30	106.38	105.05	92.90	88.20	83.04	80.37	74.47	70.63	69.58	76.52	74.20	68.85	66.88																																																																											
