sub4	2025-H1	2024-H2	2024-H1	2023-H2	2023-H1	2022-H2	2022-H1	2021-H2	2021-H1	2020-H2	2020-H1	2019-H2	2019-H1	2018-H2	2018-H1	2017-H2	2017-H1	2016-H2	2016-H1	2015-H2	2015-H1	2014-H2	2014-H1	2013-H2	2013-H1	2012-H2	2012-H1	2011-H2	2011-H1	2010-H2	2010-H1	2009-H2	2009-H1	2008-H2	2008-H1	2007-H2	2007-H1	2006-H2	2006-H1	2005-H2	2005-H1	2004-H2	2004-H1	2003-H2	2003-H1	2002-H2	2002-H1	2001-H2	2001-H1	2000-H2	2000-H1	1999-H2	1999-H1	1998-H2	1998-H1	1997-H2	1997-H1	1996-H2	1996-H1	1995-H2	1995-H1	1994-H2	1994-H1	1993-H2	1993-H1	1992-H2	1992-H1	1991-H2	1991-H1	1990-H2	1990-H1	1989-H2	1989-H1	1988-H2	1988-H1	1987-H2	1987-H1	1986-H2	1986-H1	1985-H2	1985-H1	1984-H2	1984-H1	1983-H2	1983-H1	1982-H2	1982-H1	1981-H2	1981-H1	1980-H2	1980-H1	1979-H2	1979-H1	1978-H2	1978-H1	1977-H2	1977-H1	1976-H2	1976-H1	1975-H2	1975-H1	1974-H2	1974-H1	1973-H2	1973-H1	1972-H2	1972-H1	1971-H2	1971-H1	1970-H2	1970-H1	1969-H2	1969-H1	1968-H2	1968-H1	1967-H2	1967-H1	1966-H2	1966-H1	1965-H2	1965-H1	1964-H2	1964-H1	1963-H2	1963-H1	1962-H2	1962-H1	1961-H2	1961-H1	1960-H2	1960-H1	1959-H2	1959-H1	1958-H2	1958-H1	1957-H2	1957-H1	1956-H2	1956-H1	1955-H2	1955-H1	1954-H2	1954-H1	1953-H2	1953-H1	1952-H2	1952-H1	1951-H2	1951-H1	1950-H2	1950-H1	1949-H2	1949-H1	1948-H2	1948-H1	1947-H2	1947-H1	1946-H2	1946-H1	1945-H2	1945-H1	1944-H2	1944-H1	1943-H2	1943-H1	1942-H2	1942-H1	1941-H2	1941-H1	1940-H2	1940-H1	1939-H2	1939-H1	1938-H2	1938-H1	1937-H2	1937-H1	1936-H2	1936-H1	1935-H2	1935-H1	1934-H2	1934-H1	1933-H2	1933-H1	1932-H2	1932-H1	1931-H2	1931-H1	1930-H2	1930-H1	1929-H2	1929-H1	1928-H2	1928-H1	1927-H2	1927-H1	1926-H2	1926-H1	1925-H2	1925-H1
land-valuations-indicator-(lvi)-for-colombo-(1998=100)-overall																661.30	628.60	599.10	558.10	531.10	496.30	463.60	443.00	431.20	402.00	365.20	349.00	333.00	329.20	317.30	306.40	298.80	297.30	307.90	-	327.30	-	277.10	-	237.60	-	201.50	-	181.40	-	161.20	-	143.70	-	127.20	-	112.10	-	100.00	-																																																																																																																																																		
land-valuations-indicator-(lvi)-for-colombo-(1998=100)-residential																674.50	642.70	614.70	574.40	542.70	518.60	477.20	449.40	438.50	407.90	369.20	355.00	341.10	336.50	323.40	317.10	309.00	306.30	320.00	-	346.00	-	292.00	-	252.00	-	212.40	-	187.90	-	168.30	-	148.10	-	131.30	-	115.10	-	100.00	-																																																																																																																																																		
land-valuations-indicator-(lvi)-for-colombo-(1998=100)-commercial																694.10	653.00	623.90	585.00	556.30	513.20	477.90	458.90	447.10	416.50	379.20	361.90	345.00	341.80	329.60	321.60	315.80	314.60	323.60	-	341.00	-	283.20	-	236.70	-	198.50	-	176.30	-	155.40	-	139.80	-	124.50	-	110.60	-	100.00	-																																																																																																																																																		
land-valuations-indicator-(lvi)-for-colombo-(1998=100)-industrial																615.20	590.10	558.50	514.90	494.20	457.10	435.90	420.60	407.90	381.50	347.30	330.00	312.90	309.40	298.80	280.70	271.50	271.10	280.00	-	294.80	-	256.20	-	224.10	-	193.80	-	179.90	-	160.00	-	143.10	-	125.90	-	110.70	-	100.00	-																																																																																																																																																		
land-valuations-indicator-(lvi)-for-colombo-(2017-1st-half-=-100)-overall							186.90	178.70	159.80	151.60	144.30	137.20	129.70	122.30	114.70	107.00	100																																																																																																																																																																																								
land-valuations-indicator-(lvi)-for-colombo-(2017-1st-half-=-100)-residential							183.40	176.30	159.30	152.00	144.90	136.60	128.90	121.70	114.30	106.80	100																																																																																																																																																																																								
land-valuations-indicator-(lvi)-for-colombo-(2017-1st-half-=-100)-commercial							182.80	173.40	158.70	148.70	142.00	135.50	128.50	121.50	114.70	107.00	100																																																																																																																																																																																								
land-valuations-indicator-(lvi)-for-colombo-(2017-1st-half-=-100)-industrial							194.60	186.60	161.30	154.10	146.10	139.40	131.50	123.70	115.10	107.20	100																																																																																																																																																																																								
