sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
gde-constant-(2010)-prices-gcf-gross-fixed-capital-formation-(gfcf)-by-asset			2,352,567.20	2,588,580.40	2,519,706.70	2,452,812.09	2,334,584.13	2,138,922.36	2,137,668.30	2,174,090.36	2,060,075.34	1,774,950.53	1,522,846.96																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-construction			1,000,884.60	1,137,204.20	1,103,549.70	1,064,349.60	991,167.68	870,171.12	895,617.64	970,218.52	902,211.45	745,040.09	589,707.83																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-machinery-and-equipment-and-weapons-systems			939,702.40	1,010,187.80	984,108.00	971,645.66	928,230.27	878,230.26	859,248.27	841,792.19	809,064.32	741,320.69	678,656.22																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-transport-equipment			327,020.80	360,559.90	357,493.70	347,694.83	348,445.67	327,356.23	325,612.69	308,368.46	300,673.95	244,470.00	215,356.59																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-information-and-communication-technology-equipment			51,171.70	46,264.30	40,856.10	36,956.79	35,461.51	32,806.79	28,473.51	26,300.58	21,682.36	20,018.51	16,797.51																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-cultivated-biological-resources			6,156.50	6,309.10	6,248.20	5,905.50	5,926.55	6,157.02	5,880.96	5,624.49	5,448.87	5,241.78	5,013.29																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-intellectual-property-products			27,631.20	28,055.20	27,451.00	26,259.69	25,352.46	24,200.94	22,835.25	21,786.12	20,994.39	18,859.46	17,315.51																																																																																								
gde-constant-(2010)-prices-gcf-gfcf-changes-in-inventories-and-acquisition-less-disposals-of			454,327.20	533,524.20	967,571.50	913,535.76	821,577.95	867,527.17	758,928.48	423,024.47	788,611.36	565,816.19	423,859.73																																																																																								
gde-constant-(2010)-prices-hh-cons.-by-coicop-actual-household-(hh)-final-consumption-expendit			7,091,213.50	7,292,080.10	7,021,969.50	6,788,679.28	6,580,644.98	6,139,456.35	5,690,782.61	5,487,951.28	5,091,681.37	4,979,942.79	4,544,978.84																																																																																								
gde-constant-(2010)-prices-hh-cons.-by-coicop-individual-consumption-(ic)-expenditure-of-house			6,868,413.10	7,286,424.50	7,147,462.20	6,836,531.08	6,575,732.58	6,088,974.34	5,628,796.88	5,368,850.71	4,966,711.14	4,857,810.11	4,402,019.11																																																																																								
gde-constant-(2010)-prices-hh-cons.-by-coicop-food-and-non-alcoholic-beverages			2,196,067.30	2,192,737.60	2,153,554.30	2,054,002.93	2,063,768.72	1,747,779.31	1,409,075.36	1,387,641.98	1,311,149.42	1,434,804.21	1,252,042.76																																																																																								
gde-constant-(2010)-prices-hh-cons.-by-coicop-alcoholic-beverages,-tobacco-and-narcotics			102,381.50	106,638.30	100,771.30	90,562.36	77,306.11	81,636.18	84,641.26	108,295.58	98,968.09	181,645.43	168,024.40																																																																																								
gde-constant-(2010)-prices-hh-cons.-by-coicop-clothing-and-footwear			203,197.00	243,410.60	236,975.40	232,806.55	257,464.00	264,219.44	212,419.86	216,784.25	197,901.68	243,074.63	265,839.62																																																																																								
