sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
gdp-constant-(2010)-prices-industries-mining-and-quarrying			202,872.99	231,893.04	225,505.50	237,826.58	217,576.96	191,145.28	201,612.95	198,446.85	184,468.31	148,100.03	124,926.12																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-food,-beverages-&-tobacco-products			599,901.82	574,888.34	559,355.79	534,923.55	529,786.27	528,821.08	513,960.30	507,127.09	507,121.36	487,942.87	433,768.82																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-textiles,-wearing-apparel-and-leather-rel			287,843.93	326,802.78	324,565.10	304,090.18	289,001.22	282,719.05	276,799.96	264,526.98	244,496.07	238,254.41	264,905.03																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-wood-and-of-products-of-wood-and-cork,-ex			28,724.79	31,178.02	34,232.59	32,908.93	32,855.43	27,320.05	23,139.15	25,257.55	23,471.79	31,520.65	26,317.66																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-coke-and-refined-petroleum-products			30,026.05	33,694.06	27,312.46	29,742.95	31,244.94	29,075.26	28,722.89	27,514.14	28,858.19	35,456.79	22,280.52																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-chemical-products-and-basic-pharmaceutic			101,312.03	100,510.78	97,850.74	93,551.65	90,095.27	83,179.18	82,243.23	81,982.26	75,581.96	67,643.61	69,450.31																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-rubber-and-plastic-products			68,334.15	83,009.18	85,932.59	86,201.51	77,055.27	76,143.57	71,909.03	82,186.65	83,306.70	75,656.01	63,256.61																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-other-non-metallic-mineral-products			81,844.25	85,340.53	81,764.14	77,821.38	69,660.22	75,190.93	78,670.78	81,036.63	87,090.26	86,204.04	79,267.18																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-machinery-and-equipment-i.e..			51,284.77	52,578.38	51,697.23	50,967.40	46,609.69	38,848.17	32,064.19	30,844.73	30,849.47	33,650.12	35,909.13																																																																																								
gdp-constant-(2010)-prices-industries-manufacture-of-furniture			87,298.98	100,797.06	92,996.69	97,920.26	96,303.17	94,488.62	82,747.93	67,488.17	63,921.57	53,351.56	56,401.77																																																																																								
gdp-constant-(2010)-prices-industries-other-manufacturing,-and-repair-and-installation-of-mach			69,623.12	75,039.71	76,588.75	76,942.74	70,922.91	68,509.37	55,992.53	44,442.99	41,961.91	34,554.61	48,659.59																																																																																								
gdp-constant-(2010)-prices-industries-water-collection,-treatment-and-supply			15,865.81	15,138.60	14,350.96	13,562.20	12,971.82	12,022.68	11,503.50	10,974.58	10,554.49	9,845.64	9,380.68																																																																																								
gdp-constant-(2010)-prices-industries-sewerage,-waste,-treatment-and-disposal-activities			32,078.09	32,402.84	30,207.21	28,315.66	25,539.50	21,681.27	17,354.86	15,510.91	14,571.57	12,140.96	11,712.33																																																																																								
gdp-constant-(2010)-prices-services			5,595,468.64	5,678,484.70	5,555,324.64	5,313,434.87	5,127,615.53	4,894,717.01	4,618,501.31	4,405,644.48	4,245,460.78	3,817,154.81	3,504,322.85																																																																																								
gdp-constant-(2010)-prices-services-wholesale-and-retail-trade			1,086,936.92	1,071,847.11	1,040,360.00	993,667.36	957,088.12	933,216.18	884,093.91	859,976.66	848,685.87	788,047.60	705,778.33																																																																																								
gdp-constant-(2010)-prices-services-transportation-of-goods-and-passengers-including-warehousi			978,455.32	1,048,824.70	1,034,754.82	1,013,857.22	982,703.13	931,528.90	885,506.06	849,539.14	805,391.46	745,891.23	662,153.25																																																																																								
gdp-constant-(2010)-prices-services-postal-and-courier-activities			4,974.75	4,751.74	4,485.11	4,424.71	4,259.53	4,052.25	4,055.92	4,364.29	4,441.34	4,068.06	4,066.45																																																																																								
gdp-constant-(2010)-prices-services-accommodation,-food-and-beverage-service-activities			89,451.93	147,670.89	154,794.13	146,432.26	139,442.88	134,016.88	131,480.54	126,392.03	134,159.62	105,371.90	87,692.75																																																																																								
gdp-constant-(2010)-prices-services-programming-and-broadcasting-activities-and-audio-video-pr			2,702.47	2,639.30	2,519.07	2,803.82	2,830.53	2,623.71	2,513.22	2,422.35	2,251.62	2,177.58	2,525.89																																																																																								
gdp-constant-(2010)-prices-services-telecommunication			61,989.92	53,694.85	45,830.05	41,503.47	36,983.58	34,145.97	30,985.60	27,395.38	26,450.08	24,419.64	22,930.96																																																																																								
gdp-constant-(2010)-prices-services-it-programming-consultancy-and-related-activities			18,751.66	17,044.07	15,071.79	13,564.41	13,014.83	12,147.53	10,578.73	9,692.76	7,971.81	7,215.87	6,193.57																																																																																								
gdp-constant-(2010)-prices-services-financial-service-activities-and-auxiliary-financial-servi			778,258.24	701,890.79	687,918.30	606,511.77	554,564.19	493,784.72	420,223.35	386,008.91	364,687.55	314,677.97	274,932.83																																																																																								
gdp-constant-(2010)-prices-services-insurance,-reinsurance-and-pension-funding			118,133.86	117,445.91	112,514.80	95,924.92	92,171.59	82,013.03	74,977.65	70,853.64	69,026.27	67,595.85	67,829.85																																																																																								
gdp-constant-(2010)-prices-services-real-estate-activities,-including-ownership-of-dwelling			572,798.75	579,601.39	566,077.88	544,732.64	520,084.97	489,352.22	444,049.37	417,024.21	369,719.43	328,076.11	307,112.42																																																																																								
