sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Central			4,442.00	5,843	7,922.00	7,382	6,874	6,027	5,229	4,344	4,298	4,045	2,986	2,700	1,742	1,557	1,015	1,272	1,077	977	624	n.a.	574	194																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Southern			5,492.00	6,639	8,494.00	8,171	6,630	6,104	5,274	4,441	4,253	2,160	2,924	2,507	2,351	1,596	912	1,083	1,031	827	626	n.a.	559	477																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Northern			2,591.00	3,454	4,006.00	3,583	3,115	2,219	1,866	1,529	1,360	81	73	51	26	33	-	-	-	-	-	n.a.	-	-																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Eastern			2,167.00	3,090	3,839.00	3,699	3,316	2,705	2,835	2,205	1,671	825	900	74	31	56	-	-	-	-	-	n.a.	-	-																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-North-Western			5,618.00	6,770	8,553.00	8,092	7,383	6,384	5,720	4,699	4,882	4,370	2,949	2,630	1,359	1,213	768	1,242	980	869	623	n.a.	576	546																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-North-Central			2,542.00	2,659	3,961.00	3,822	3,592	2,818	2,112	2,326	2,168	1,971	1,171	1,011	661	622	398	414	359	318	244	n.a.	226	540																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Uva			2,025.00	2,784	3,707.00	3,487	3,297	2,727	2,637	2,109	1,997	661	975	861	549	537	371	397	321	286	213	n.a.	194	35																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Sabaragamuwa			2,930.00	3,773	4,030.00	4,242	4,186	3,381	2,960	2,474	2,504	2,360	1,705	1,420	813	844	497	691	578	456	344	n.a.	305	266																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Total			52,245	65,716	91,621	86,976	79,585	67,972	59,726	49,648	49,235	40,991	36,826	29,399	20,307	15,776	12,038	16,133	13,522	11,624	8,674	7,536	-	6,993	5,940	5,394	4,883																																																																										
Revenue and Expenditure of Provincial Councils-Receipts-Total-Western			70,759.00	55,647	62,581.00	60,589	64,547	56,736	43,862	35,355	35,669	35,491	30,935	23,373	22,178	21,067	16,892	17,402	13,636	11,756	9,678	n.a.	8,347	8,061																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-Central			40,957.00	36,885	35,367.00	32,802	31,760	31,459	24,267	19,352	18,377	19,314	17,836	16,995	16,887	10,852	10,589	8,913	6,461	6,355	5,168	n.a.	4,845	2,343																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-Southern			39,229.00	33,146	33,876.00	32,149	28,748	29,553	22,364	17,644	17,162	15,460	15,084	13,816	14,480	11,656	9,984	8,457	6,557	6,199	4,753	n.a.	4,957	4,510																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-Northern			29,742.00	26,819	25,391.00	24,887	22,183	20,327	15,911	12,055	10,677	10,585	10,258	9,214	8,946	7,505	-	-	-	-	-	n.a.	-	-																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-Eastern			30,963.00	26,436	26,470.00	25,119	22,287	21,642	17,716	13,927	13,197	12,750	12,230	10,376	9,639	7,609	-	-	-	-	-	n.a.	-	-																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-North-Western			37,749.00	33,361	32,817.00	32,723	30,070	29,768	24,342	18,953	17,791	18,882	16,855	15,766	15,984	12,393	10,479	8,790	6,842	6,081	5,023	n.a.	4,463	4,293																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-North-Central			23,206.00	20,993	21,116.00	20,510	19,716	18,651	13,764	10,652	11,072	11,923	10,401	8,975	9,581	6,175	6,290	5,213	4,026	3,691	3,073	n.a.	2,710	4,133																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-Uva			27,231.00	23,784	22,358.00	22,327	21,234	20,689	17,152	12,682	11,976	10,941	11,095	9,971	10,039	7,022	5,857	5,285	4,015	3,583	2,764	n.a.	2,550	4,029																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total-Sabaragamuwa			30,758.00	28,518	27,739.00	25,989	23,741	24,229	19,537	15,744	14,133	14,054	12,264	11,519	11,896	8,743	6,918	6,156	4,905	4,495	3,406	n.a.	3,420	2,990																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Total			330,594	279,265	287,714	277,094	264,276	253,053	198,914	156,364	150,055	149,401	136,959	120,004	119,040	77,257	79,567	69,823	54,194	48,325	38,521	36,042	-	32,960	30,042	26,468	24,886																																																																										
