sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Western			46,322.00	18,621	15,472.00	16,091	23,344	21,128	12,770	9,834	9,565	10,974	7,791	5,228	9,406	10,368	8,879	6,443	4,532	3,936	3,724	n.a.	3,285	3,342																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Central			36,515.00	31,043	27,444.00	25,420	24,866	25,432	19,038	15,008	14,079	15,269	14,850	14,295	15,145	9,295	9,574	7,641	5,995	5,378	4,544	n.a.	4,271	2,149																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Southern			33,737.00	26,508	25,382.00	23,977	22,118	23,449	17,090	13,202	12,910	13,300	12,160	11,309	12,129	10,060	9,072	7,374	5,526	5,372	4,127	n.a.	4,397	4,033																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Northern			27,151.00	23,365	21,385.00	21,304	19,068	18,108	14,045	10,526	9,318	10,504	10,186	9,163	8,920	7,472	-	-	-	-	-	n.a.	-	-																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Eastern			28,796.00	23,346	22,632.00	21,420	18,971	18,937	14,881	11,721	11,526	11,925	11,330	10,302	9,608	7,553	-	-	-	-	-	n.a.	-	-																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-North-Western			32,130.00	26,591	24,263.00	24,631	22,688	23,384	18,622	14,255	12,909	14,512	13,906	13,136	14,625	11,180	9,711	7,548	5,863	5,212	4,400	n.a.	3,887	3,747																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-North-Central			20,664.00	18,334	17,155.00	16,688	16,124	15,833	11,651	8,326	8,904	9,952	9,231	7,964	8,920	5,553	5,892	4,799	3,667	3,373	2,829	n.a.	2,484	3,593																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Uva			25,206.00	21,000	18,651.00	18,840	17,937	17,962	14,514	10,574	9,979	10,280	10,120	9,110	9,490	6,485	5,486	4,888	3,694	3,297	2,551	n.a.	2,356	3,994																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Sabaragamuwa			27,829.00	24,745	23,708.00	21,747	19,555	20,848	16,577	13,270	11,629	11,694	10,559	10,100	11,083	7,899	6,421	5,465	4,327	4,039	3,062	n.a.	3,115	2,724																																																																													
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Total			278,349	213,549	196,093	190,117	184,691	185,082	139,188	106,716	100,820	108,410	100,133	90,606	98,733	61,481	67,531	53,690	40,672	36,701	29,846	28,506	-	25,967	24,102	21,074	20,002																																																																										
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Western			24,437.00	37,026	47,109.00	44,498	41,203	35,607	31,092	25,522	26,104	24,517	23,144	18,145	12,772	10,699	8,013	10,959	9,104	7,820	5,954	n.a.	5,063	4,719																																																																													
