sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
mid-year-population-western					6,219	6,165	6,149	6,129	6,081	6,023	5,974	5,934	5,896	5,865	5,946	5,891	5,841																																																																																				
mid-year-population-central					2,811	2,781	2,766	2,750	2,722	2,691	2,659	2,633	2,606	2,582	2,727	2,696	2,668																																																																																				
mid-year-population-southern					2,696	2,669	2,654	2,637	2,611	2,586	2,557	2,533	2,508	2,485	2,518	2,495	2,470																																																																																				
mid-year-population-northern					1,165	1,152	1,143	1,131	1,119	1,105	1,095	1,086	1,074	1,065	1,160	1,149	1,145																																																																																				
mid-year-population-eastern					1,783	1,746	1,729	1,710	1,677	1,641	1,611	1,592	1,574	1,561	1,584	1,561	1,540																																																																																				
mid-year-population-north-western					2,592	2,563	2,551	2,536	2,508	2,477	2,447	2,425	2,405	2,389	2,377	2,353	2,332																																																																																				
mid-year-population-north-central					1,402	1,386	1,377	1,366	1,349	1,337	1,318	1,302	1,285	1,272	1,254	1,238	1,224																																																																																				
mid-year-population-uva					1,400	1,387	1,376	1,364	1,349	1,340	1,321	1,303	1,286	1,271	1,349	1,333	1,316																																																																																				
mid-year-population-sabaragamuwa					2,088	2,070	2,058	2,047	2,028	2,009	1,988	1,970	1,951	1,935	1,977	1,959	1,940																																																																																				
