sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
total-fleet-all-island						20,123	16,852	20,030	19,998	19,614	19,617	23,569	19,651	20,444	19,699	19,805	18,665	18,665	17,731	17,522	16,842	16,727	16,583	16,274	15,520	15,834																																																																											
seating-capacity-all-island						465,858	654,822	836,226	749,136	758,106	749,172	930,705	768,015	770,805	747,135	714,762	653,275	653,275	624,365	613,270	594,986	587,726	585,770	547,810	513,825	525,325																																																																											
operated-kilometers-all-island						381	773.90	1,110.40	1,008.80	1,030.20	1,012.60	1,336.20	847.20	825.30	799.80	765.30	629.50	631.80	607.20	583.20	487.30	564.10	563.50	551.20	523.50	534.30																																																																											
buses-operated-all-island						10,787	15,591	19,055	16,972	17,131	16,950	21,353	17,067	17,129	16,602	15,884	13,066	13,116	12,610	12,656	11,794	11,708	11,695	11,453	10,864	11,084																																																																											
passenger-kilometers-all-island						18,547	35,756.00	55,459.80	50,542.40	49,544.50	47,552.40	65,676.70	44,478.30	43,326.90	41,993.20	40,177.80	33,048.80	33,176.10	33,100.30	30,619.70	25,583.00	29,615.20	29,581.80	28,969.90	27,479.90	28,034.30																																																																											
