sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
production-western			149.30	102.20	113.30	74.60	90.10	127.50	106.60	117.50	115.80	132.30	157.20	153.00	133.10	93.60	103.70	115.40																																																																																			
production-central			206.80	179	167.80	113.50	181.60	201.60	164.00	203.80	161.80	175.40	209.40	167.90	193.40	148.00	149.70	149.60																																																																																			
production-southern			493.60	450.40	525.60	329.80	414.70	507.50	429.50	402.20	332.30	367.30	384.30	368.90	362.10	313.20	279.70	273.50																																																																																			
production-northern			481.10	449	290.10	160.60	352.70	403.30	124.50	313.60	259.90	207.90	110.60	65.40	139.30	146.00	184.00	200.70																																																																																			
production-eastern			1,225.30	1,155.40	1,035.50	759.90	1,112.60	1,067.20	935.90	1,039.50	1,062.20	653.50	1,067.00	916.90	830.10	649.60	839.40	797.50																																																																																			
production-north-western			766.70	607.40	447.00	152.30	627.30	630.00	496.90	688.00	330.40	625.60	576.20	579.10	587.80	424.90	442.80	369.30																																																																																			
production-north-central			1,292.80	1,199.90	948.90	535.10	1,190.90	1,376.60	721.40	1,225.70	1,031.20	1,165.50	1,182.30	937.10	1,102.70	898.80	916.80	934.10																																																																																			
production-uva			371.80	342.50	293.20	201.20	344.40	379.50	289.00	381.20	324.40	296.60	323.00	193.40	294.30	256.80	213.80	204.20																																																																																			
production-sabaragamuwa			133.60	106.20	108.40	56.20	105.80	126.20	113.10	249.30	227.80	270.20	290.70	269.80	232.30	200.10	212.10	201.80																																																																																			
net-extent-harvested-western			41.20	29.40	33.40	22.50	26.30	36.40	34.80	36.90	36.10	46.00	48.70	48.20	43.20	29.60	34.20	40.50																																																																																			
net-extent-harvested-central			43.00	37.80	38.90	26.40	43.50	47.60	40.70	47.50	39.20	47.90	51.40	45.30	51.80	38.70	41.40	40.90																																																																																			
net-extent-harvested-southern			94.90	83.60	99.40	70.50	83.10	99.40	91.00	82.30	77.90	89.00	91.20	88.10	88.70	72.00	67.10	71.70																																																																																			
net-extent-harvested-northern			104.00	94.80	72.50	41.40	86.00	93.90	33.20	75.10	72.00	62.00	25.80	18.10	42.50	42.20	52.70	57.10																																																																																			
net-extent-harvested-eastern			267.10	259.20	247.10	186.10	263.50	254.00	217.70	268.40	235.70	167.50	226.50	197.60	179.20	140.00	198.10	202.10																																																																																			
net-extent-harvested-north-western			167.30	134.30	106.10	35.90	160.80	170.40	129.60	158.60	85.90	176.60	144.50	152.50	165.70	107.00	121.70	111.00																																																																																			
net-extent-harvested-north-central			240.60	225.70	191.00	110.00	240.10	268.60	152.20	260.40	210.20	255.00	225.10	188.70	230.90	178.50	190.60	193.40																																																																																			
net-extent-harvested-uva			78.60	69.70	69.40	46.20	82.40	86.50	64.80	87.30	75.70	76.80	74.10	44.40	70.60	59.40	51.30	50.00																																																																																			
net-extent-harvested-sabaragamuwa			29.60	23.20	26.80	15.70	25.30	31.60	29.00	50.80	50.60	60.20	62.60	59.00	53.00	46.60	50.60	52.50																																																																																			
yield-bushels-per-acre-western			70.00	67	66.00	64	67	68	59	62	62	56	63	62	60	61	59	55																																																																																			
yield-bushels-per-acre-central			93.00	92	84.00	83	81	82	78	83	80	71	79	72	72	74	70	71																																																																																			
yield-bushels-per-acre-southern			101.00	105	103.00	91	97	99	91	95	83	80	82	81	79	84	81	74																																																																																			
yield-bushels-per-acre-northern			90.00	92	78.00	75	80	83	73	81	70	65	83	70	64	67	68	68																																																																																			
yield-bushels-per-acre-eastern			89.00	86	81.00	79	82	81	83	75	87	76	91	90	90	90	82	77																																																																																			
yield-bushels-per-acre-north-western			89.00	88	82.00	82	76	72	74	84	75	69	77	74	69	77	71	65																																																																																			
yield-bushels-per-acre-north-central			104.00	103	96.00	94	96	99	92	91	95	89	102	96	93	98	93	94																																																																																			
yield-bushels-per-acre-uva			92.00	95	82.00	84	81	85	86	85	83	75	85	84	81	84	81	79																																																																																			
yield-bushels-per-acre-sabaragamuwa			87.00	89	78.00	70	81	77	76	95	87	87	90	89	85	83	81	75																																																																																			
yield-kg-per-hectare-central			4,805.00	4,734	4,309.00	4,297	4,176	4,238	4,032	4,294	4,126	3,660	4,070	3,709	3,733	3,826	3,615	3,660																																																																																			
yield-kg-per-hectare-eastern			4,587.00	4,458	4,191.00	4,083	4,222	4,201	4,299	3,873	4,507	3,902	4,711	4,640	4,633	4,640	4,237	3,945																																																																																			
production		5,149.60	5,120.90	4,592.10	3,930	2,383	4,420	4,819	3,381	4,621	3,846	3,894	4,301	3,652	3,875	3,131	3,342	3,246	2,628	3,071	2,859	2,695	2,860	2,857	2,692	2,239																																																																											
