sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
merchandise-export-value-index-(1997=100)																342.00	296.80	320.40	308.40	261.30	232.80	213.00	180.70	164.10	156.90	153.20	118.60	113.20	100.00																																																																								
merchandise-export-volume-index-(1997=100)																143.20	135.40	154.40	153.80	143.30	138.00	129.40	120.10	116.20	112.40	122.40	103.50	98.50	100.00																																																																								
merchandise-export-unit-value-index-(1997=100)																238.90	219.20	207.50	200.50	182.40	168.60	164.50	150.50	141.20	139.60	125.20	114.60	114.90	100.00																																																																								
merchandise-import-value-index-(1997=100)																441.20	338.90	440.90	361.40	308.30	257.60	234.50	186.00	168.90	154.00	152.10	115.80	109.90	100.00																																																																								
merchandise-import-volume-index-(1997=100)																180.10	159.40	176.30	169.50	163.40	152.80	148.80	136.50	122.70	110.10	122.80	108.70	108.50	100.00																																																																								
merchandise-import-unit-value-index-(1997=100)																244.90	212.60	250.10	213.10	188.70	168.60	157.60	136.30	137.70	139.90	123.80	106.40	101.30	100.00																																																																								
terms-of-trade-(1997=100)																97.50	103.10	83.00	94.00	96.70	100.00	104.40	110.40	102.50	99.80	101.10	107.70	113.40	100.00																																																																								
merchandise-export-value-index-(2010=100)							218.97	198.34	177.70	153.90	146.80	149.10	137.90	127.80	119.80	100.00																																																																																					
merchandise-export-volume-index-(2010=100)							147.18	137.34	136.70	127.00	128.00	122.30	117.30	110.00	110.20	100.00																																																																																					
merchandise-export-unit-value-index-(2010=100)							148.78	144.42	130.00	121.20	114.70	121.90	117.50	116.20	108.70	100.00																																																																																					
merchandise-import-value-index-(2010=100)							235.16	237.91	156.50	186.40	169.70	167.20	153.20	161.10	147.90	100.00																																																																																					
merchandise-import-volume-index-(2010=100)							164.21	174.32	170.80	159.90	148.20	134.00	122.30	124.20	123.60	100.00																																																																																					
merchandise-import-unit-value-index-(2010=100)							143.20	136.48	91.60	116.60	114.50	124.80	125.30	129.70	119.70	100.00																																																																																					
terms-of-trade-(2010=100)							103.89	105.82	105.20	103.90	100.20	97.60	93.80	89.60	90.90	100.00																																																																																					
