sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
no.-of-main-post-offices			653	653	653	653	652	653	653	651	651	648	648	643	643	641	636	633	630	622	614	602	597	586	582	575	573	562	557	544																																																																							
no.-of-sub-post-offices			3,409	3,409	3,410	3,409	3,410	3,410	3,410	3,375	3,411	3,410	3,410	3,410	3,410	3,412	3,407	3,408	3,411	3,428	3,432	3,440	3,452	3,454	3,454	3,453	3,452	3,404	3,375	3,351																																																																							
no.-of-agency-post-offices			134	412	412	628	629	629	629	602	676	684	684	684	684	684	684	663	611	580	570	514	439	397	326	279	196	182	173	147																																																																							
no.-of-postal-delivery-areas			6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729	6,729																																																																							
area-served-by-a-post-office			16	15	15	15	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	16	16	16	16																																																																							
post-offices				4,474	4,475	4,690	4,691	4,692	4,692	4,628	4,738	4,742	4,742	4,738	4,737	4,737	4,727	4,704	4,711	4,630	4,616	4,556	4,488	4,437	4,362	4,307	4,245	4,148	4,105	4,042	4,018	3,982	3,945	3,908	3,869	3,778	3,727	3,690	3,646	3,617	3,591	3,515	3,341	3,137	2,989	2,908	2,853	2,797	2,797	2,790	n.a.	n.a.	n.a.	n.a.	2,400	2,361	2,356	2,346	2,322	2,228	2,139	2,034	1,990	1,769	1,755	1,688	1,477	1,390	1,345	1,310	1,270	1,118	972	800	716																										
average-population-served-by-a-post-office				4,872	4,791	4,572	4,520	4,468	4,427	4,447	4,311	4,401	4,360	4,322	4,274	4,230	4,201	4,176	4,125	4,141	4,099	4,126	4,256	4,295	4,306	4,311	4,319	4,372	4,358	4,366	4,337	4,336	4,313	4,305	4,290	4,334	4,327	4,293	4,279	3,986	4,232	4,224	4,414	4,613	4,747	4,794	4,808	4,825	4,749	4,692					4,997	4,957	4,855	4,759	4,696	4,750	4,882	4,999	4,973	5,441	5,349	5,430	6,045	6,179	6,234	6,182	6,252	6,925	7,761	9,319	10,117																										
