sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Road Network-Class A Roads			4,217	4,215	4,215	4,215	4,215	4,215	4,215	4,219	4,219	4,219	4,219	4,216	4,219	4,219	4,219	4,314	4,339	4,339	4,339	4,337	4,222	4,221	4,222	4,221																																																																											
Road Network-Class B Roads			8,007	8,005	8,005	7,995	7,995	7,995	7,993	7,949	7,945	7,800	7,800	7,704	7,670	7,655	7,553	7,706	7,679	7,670	7,670	7,571	7,265	7,241	6,926	6,926																																																																											
Road Kilometerage-Western-Class A			374.00	374	374.00	374	374	374	374	374	374	374	374	374	374	374	374	374	372	372	372	372	374																																																																														
Road Kilometerage-Western-Class B			1,257.00	253	1,230.00	1,224	1,224	1,224	1,222	1,219	1,215	1,209	1,209	1,209	1,209	1,209	1,192	1,191	1,183	1,183	1,183	1,177	1,172																																																																														
Road Kilometerage-Western-Class C			1,078.00	1,078	1,078.00	1,078	1,078	1,078	998	998	998	998	998	998	998	998	998	998	998	998	998	977	978																																																																														
Road Kilometerage-Western-Class D			874.00	874	874.00	874	874	874	954	954	954	954	954	924	924	845	845	924	845	841	841	802	803																																																																														
Road Kilometerage-Western-Expressways			108.00	108	98.00	98	98	98	89	79	53	53	-	-	-	-	-	-	-	-	-	-	-																																																																														
Road Kilometerage-Uva-Class A			469.00	469	471.00	471	471	471	471	471	471	471	471	469	471	471	471	471	471	471	471	469	469																																																																														
Road Kilometerage-Uva-Class B			693.00	693	693.00	693	693	693	693	693	693	693	693	693	693	693	693	919	919	919	919	919	678																																																																														
Road Kilometerage-Uva-Class C			1,689.00	1,689	1,689.00	1,689	1,689	1,689	1,689	1,522	1,559	1,559	1,559	1,559	1,559	1,568	1,568	523	523	523	523	523	523																																																																														
Road Kilometerage-Uva-Class D			682.00	682	682.00	682	682	682	682	215	180	180	180	180	180	171	171	213	213	213	213	213	213																																																																														
Road Kilometerage-Uva-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
Road Kilometerage-Vavuniya-Class A			128	128	128	128	128	128	128	128	113	128	128	128	128	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Vavuniya-Class B			54	54	54	54	54	54	54	54	102	54	54	54	54	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Vavuniya-Class C			395	395	395	394	394	394	394	394	306	398	307	307	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Vavuniya-Class D			33	33	33	34	34	34	34	34	27	24	115	115	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Vavuniya-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Trincomalee-Class A			141	141	141	141	141	141	141	141	141	273	141	273	141	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Trincomalee-Class B			210	209	209	209	209	209	209	209	209	282	209	282	186	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Trincomalee-Class C			226	216	216	216	212	212	211	212	211	211	211	211	211	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Trincomalee-Class D			102	100	100	100	99	99	90	90	90	90	90	90	90	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Trincomalee-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Western-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87	79	79	79																																																																																
Road Kilometerage-Western-Total			3,690.00	3,686	3,655.00	3,649	3,649	3,649	3,638	3,625	3,595	3,559	3,536	3,506	3,427	3,427	3,410	3,574	3,478	3,473	3,474																																																																																
Road Kilometerage-Uva-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	178	178	178	178																																																																																
Road Kilometerage-Uva-Total			3,533.00	3,533	3,535.00	3,535	3,535	3,535	3,535	2,903	2,903	2,903	2,903	2,901	2,903	2,903	2,903	2,304	2,304	2,304	2,302																																																																																
Road Kilometerage-Vavuniya-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Vavuniya-Total			610	609	609	609	609	609	609	609	547	604	604	604	181	-	-	-																																																																																			
Road Kilometerage-Trincomalee-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Trincomalee-Total			678	666	666	666	661	661	651	651	651	856	651	856	628	-	-	-																																																																																			
