sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Road Kilometerage-Gampaha-Expressways			43	43	35	35	35	35	26	26	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kalutara-Class A			80	80	80	80	80	80	80	80	80	80	80	80	80	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kalutara-Class B			341	341	341	341	341	341	341	341	341	341	341	341	341	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kalutara-Class C			451	451	451	451	451	451	417	417	417	417	417	417	417	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kalutara-Class D			213	213	213	213	213	213	247	247	247	230	247	230	203	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kalutara-Expressways			29	29	29	29	29	29	29	44	44	44	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kandy-Class A			183	184	184	184	184	184	184	184	184	184	184	184	184	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kandy-Class B			542	563	563	563	563	563	563	563	563	555	555	555	554	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kandy-Class C			927	929	929	929	929	929	934	920	920	920	920	920	919	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kandy-Class D			353	352	352	352	352	352	352	352	352	352	352	352	352	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Kandy-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Hambantota-Class A			115	115	115	115	115	115	115	115	115	115	115	115	115	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Hambantota-Class B			477	504	504	504	504	504	504	504	504	374	374	344	374	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Hambantota-Class C			240	240	240	240	240	240	240	240	240	337	337	337	307	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Hambantota-Class D			200	200	200	200	200	200	200	200	200	283	283	283	264	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Hambantota-Expressways			72	37	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Jaffna-Class A			n.a	n.a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	381	381	381	381	381	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Jaffna-Class B			n.a	n.a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	277	277	277	277	277	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Jaffna-Class C			544	544	544	544	544	544	544	544	535	535	482	482	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Jaffna-Class D			45	45	45	45	45	45	45	45	36	36	90	90	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Jaffna-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Gampaha-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Gampaha-Total			673	1,677	1,670	1,670	1,670	1,670	1,660	1,660	1,629	1,614	1,623	1,614	1,585	-	-	-																																																																																			
Road Kilometerage-Kalutara-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Kalutara-Total			1,115	1,114	1,115	1,115	1,115	1,115	1,114	1,129	1,129	1,112	1,085	1,068	1,041	-	-	-																																																																																			
Road Kilometerage-Kandy-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Hambantota-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Hambantota-Total			1,105	1,096	1,060	1,060	1,060	1,060	1,060	1,060	1,060	1,109	1,109	1,079	1,059	-	-	-																																																																																			
Road Kilometerage-Jaffna-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Jaffna-Total			n.a	n.a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1,230	1,230	1,230	1,230	658	-	-	-																																																																																			
