sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Road Kilometerage-Central-Class A			409.00	409	409.00	409	409	409	409	409	409	409	409	409	409	409	409	471	471	471	471	471	409																																																																														
Road Kilometerage-Central-Class B			1,334.00	1,334	1,338.00	1,338	1,338	1,338	1,338	1,338	1,338	1,331	1,331	1,316	1,311	1,311	1,311	1,307	1,294	1,294	1,294	1,284	1,284																																																																														
Road Kilometerage-Batticaloa-Class A			172	206	206	206	206	206	206	206	206	206	206	206	206	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Batticaloa-Class B			61	61	61	61	61	61	61	61	61	61	61	61	61	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Batticaloa-Class C			350	335	313	313	313	313	254	256	254	254	254	254	254	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Batticaloa-Class D			49	44	45	45	44	44	131	155	131	131	131	131	131	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Batticaloa-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Ampara-Class A			307	273	273	273	273	273	273	273	273	141	273	141	273	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Ampara-Class B			281	282	282	282	282	282	282	282	282	209	282	186	282	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Ampara-Class C			149	319	319	319	292	292	256	254	256	256	256	256	256	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Ampara-Class D			92	128	128	128	120	120	155	131	155	155	155	155	155	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Ampara-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Anuradhapura-Class A			349	350	350	350	350	350	350	353	353	353	353	352	353	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Anuradhapura-Class B			471	471	471	471	471	471	471	468	468	468	468	447	447	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Anuradhapura-Class C			741	741	741	741	741	741	741	741	741	740	740	740	767	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Anuradhapura-Class D			698	698	698	698	698	698	698	698	698	716	716	716	663	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Anuradhapura-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Badulla-Class A			264	267	267	267	267	267	267	267	267	267	267	264	267	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Badulla-Class B			432	432	432	432	432	432	432	432	432	432	432	432	432	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Badulla-Class C			1,109	1,109	1,109	1,109	1,109	1,109	1,109	1,001	1,001	1,001	1,001	1,001	1,010	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Badulla-Class D			406	406	406	406	406	406	406	180	180	180	180	180	171	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Badulla-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Batticaloa-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Batticaloa-Total			631	666	624	624	623	623	652	678	652	652	652	652	652	-	-	-																																																																																			
Road Kilometerage-Ampara-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Ampara-Total			829	1,002	1,002	1,002	967	967	966	940	966	761	966	738	966	-	-	-																																																																																			
Road Kilometerage-Anuradhapura-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Anuradhapura-Total			2,258	2,259	2,259	2,259	2,259	2,259	2,259	2,259	2,259	2,277	2,277	2,255	2,229	-	-	-																																																																																			
Road Kilometerage-Badulla-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Badulla-Total			2,211	2,214	2,214	2,214	2,214	2,214	2,214	1,880	1,880	1,880	1,880	1,877	1,880	-	-	-																																																																																			
