sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Road Network-Class C Roads			12,418	12,619	12,578	12,565	12,497	12,497	11,837	11,669	11,304	11,424	11,316	11,231	9,552	9,575	9,565	8,257	8,136	8,136	7,682	7,536	7,315	7,824	7,756	7,900																																																																											
Road Network-Class D Roads			6,199	6,189	6,190	6,190	6,385	6,385	7,193	6,726	6,287	6,356	5,783	5,855	5,546	5,418	5,412	6,074	5,771	5,765	5,763	5,720	5,425	5,926	4,564	4,643																																																																											
Road Network-Expressways			272	218	170	170	170	170	161	121	95	95	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																											
Road Network-Class E Roads			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,968	1,935	1,913	1,700	1,662	1,735	1,076	891	771																																																																											
Road Network-Total Roads			31,113	31,246	31,158	31,135	31,262	31,262	31,398	30,684	29,850	29,895	29,119	29,006	26,988	26,867	26,750	28,319	27,860	27,823	27,154	26,826	25,962	26,288	24,359	24,461																																																																											
SLTB-Regional Bus Companies-Revenue			31,233	43,490	44,103	42,163	40,928	35,825	33,665	30,189	26,117	21,018	21,560	21,528	18,083	15,441	12,668	10,007	8,999	6,642	7,294	7,770	6,080																																																																														
SLTB-Regional Bus Companies-Buses Operated-All Island			4,045	5,079	5,242	5,274	5,342	5,284	4,596	4,373	4,314	4,365	4,441	4,482	4,246	4,129	3,776	3,828	4,133	4,336	4,988	6,190	5,243																																																																														
SLTB-Regional Bus Companies-Operated Kilometers-All Island			309	431	446	448	452	440	371	344	338	341	341	332	313	305	262	259	296	336	375	n.a.	387																																																																														
SLTB-Regional Bus Companies-Passenger Kilometers-All Island			9,725	12,012	15,510	15,810	16,101	15,210	12,717	12,201	11,909	11,907	11,815	11,233	15,080	14,694	12,871	12,670	14,537	17,446	20,436	21,204	19,864																																																																														
Sri Lanka Railways-Route-Broad Gauge			1,648	1,652	1,574	1,461	1,461	1,449	1,449	1,448	1,448	1,448	1,153	1,150	1,143	1,143	1,143	1,127	1,128	1,390	1,390	1,390	1,404																																																																														
Sri Lanka Railways-Main Stations-Broad Gauge			182	182	179	179	174	174	168	174	183	183	172	172	172	172	172	151	142	160	160	160	161																																																																														
Sri Lanka Railways-Sub Stations-Broad Gauge			165	165	163	161	162	162	194	164	160	160	162	162	161	161	161	144	130	147	146	144	141																																																																														
Sri Lanka Railways-Passenger Kilometers-All Island			3,905.60	7,310	7,709.50	7,495.10	7,413.10	7,407.40	6,841.90	6,257.90	5,039.40	4,574.10	4,352.80	4,594.80	4,681.30	4,766.80	4,321	4,357.90	4,684.00	4,627.00	4,079.00	3,979.00	3,208																																																																														
Sri Lanka Railways-Operated Kilometers-All Island			3.70	11.70	11.60	11.20	11.50	11.30	11.10	10.90	10.60	10	9.80	9.70	9.30	9.70	8.80	7.60	7.60	8.30	8.50	8.90	8.50																																																																														
Sri Lanka Railways-Freight Tonne Kilometers-All Island			114.40	115.60	119.80	144.80	139.90	130.00	130.40	128.20	143.40	153.80	162.80	113.80	120.60	133.20	138.00	135.00	134.00	129.00	131.00	109.00	88.00																																																																														
Private Bus Services-Total Fleet-All Island			20,123	16,852	20,030	19,998	19,614	19,617	23,569	19,651	20,444	19,699	19,805	18,665	18,665	17,731	17,522	16,842	16,727	16,583	16,274	15,520	15,834																																																																														
Private Bus Services-Seating Capacity-All Island			465,858	654,822	836,226	749,136	758,106	749,172	930,705	768,015	770,805	747,135	714,762	653,275	653,275	624,365	613,270	594,986	587,726	585,770	547,810	513,825	525,325																																																																														
Private Bus Services-Operated Kilometers-All Island			381	773.90	1,110.40	1,008.80	1,030.20	1,012.60	1,336.20	847.20	825.30	799.80	765.30	629.50	631.80	607.20	583.20	487.30	564.10	563.50	551.20	523.50	534.30																																																																														
Private Bus Services-Buses Operated-All Island			10,787	15,591	19,055	16,972	17,131	16,950	21,353	17,067	17,129	16,602	15,884	13,066	13,116	12,610	12,656	11,794	11,708	11,695	11,453	10,864	11,084																																																																														
Private Bus Services-Passenger Kilometers-All Island			18,547	35,756.00	55,459.80	50,542.40	49,544.50	47,552.40	65,676.70	44,478.30	43,326.90	41,993.20	40,177.80	33,048.80	33,176.10	33,100.30	30,619.70	25,583.00	29,615.20	29,581.80	28,969.90	27,479.90	28,034.30																																																																														
Motor Vehicles by Province-Dual Purpose Vehicles-Western			147,231.00	156,681	130,794.00	127,117	149,444	147,961	135,263	130,577	125,642	116,467	105,831	100,840	102,613	106,571	102,821	99,469	91,835	85,794	81,720	76,324	74,283	73,844																																																																													
