sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Road Kilometerage-Northern-Class A			734.00	734	734.00	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734																																																																														
Road Kilometerage-Northern-Class B			525.00	525	525.00	525	525	525	525	524	524	524	524	524	524	524	524	524	524	524	524	524	524																																																																														
Road Kilometerage-Northern-Class C			1,972.00	1,972	1,959.00	1,959	1,959	1,959	1,959	1,959	1,886	1,886	1,825	1,458	-	-	-	334	334	334	334	334	334																																																																														
Road Kilometerage-Northern-Class D			148.00	148	161.00	161	161	161	161	161	134	134	134	502	-	-	-	745	745	745	745	745	745																																																																														
Road Kilometerage-Northern-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
Road Kilometerage-North Western-Class A			353.00	353	352.00	352	352	352	352	353	353	353	353	353	354	354	354	408	408	408	408	408	354																																																																														
Road Kilometerage-North Western-Class B			975.00	975	1,003.00	1,003	1,003	1,003	1,003	971	971	971	971	962	934	919	919	919	919	919	919	921	921																																																																														
Road Kilometerage-North Western-Class C			1,914.00	1,914	1,914.00	1,914	1,914	1,914	1,914	1,429	1,091	1,091	1,091	1,261	1,091	1,092	1,092	1,077	1,077	1,077	1,077	1,064	1,065																																																																														
Road Kilometerage-North Western-Class D			831.00	831	831.00	831	831	831	831	1,446	1,065	1,065	1,065	845	1,065	1,065	1,065	1,032	1,032	1,032	1,032	1,018	1,015																																																																														
Road Kilometerage-North Western-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
Road Kilometerage-North Central-Class D			721.00	721	721.00	721	736	736	736	736	736	722	756	756	756	715	709	421	421	419	419	419	419																																																																														
Road Kilometerage-North Central-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
Road Kilometerage-Nuwara Eliya-Class A			120	120	120	120	120	120	120	120	120	120	120	120	120	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Nuwara Eliya-Class B			501	492	492	492	492	492	492	492	492	492	492	492	489	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Nuwara Eliya-Class C			436	436	436	436	436	436	433	443	443	442	443	443	443	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Nuwara Eliya-Class D			49	49	49	49	49	49	49	49	49	49	49	49	49	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Nuwara Eliya-Expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Polonnaruwa-Class A			143	143	143	143	143	143	143	143	143	143	143	143	143	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Polonnaruwa-Class B			235	230	230	230	230	230	230	230	230	230	230	202	202	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Polonnaruwa-Class C			486	486	486	471	471	471	471	471	471	542	542	542	494	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Polonnaruwa-Class D			23	23	23	39	39	39	39	39	39	40	40	40	52	n.a.	n.a.	n.a.																																																																																			
Road Kilometerage-Northern-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
Road Kilometerage-Northern-Total			3,379.00	3,379	3,379.00	3,379	3,379	3,379	3,379	3,379	3,279	3,279	3,219	3,219	1,259	1,259	1,259	2,337	2,338	2,337	2,338																																																																																
Road Kilometerage-North Western-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	39	39	39																																																																																
Road Kilometerage-North Western-Total			4,074.00	4,074	4,101.00	4,101	4,101	4,101	4,101	4,199	3,481	3,481	3,523	3,471	3,443	3,429	3,429	3,475	3,475	3,475	3,475																																																																																
Road Kilometerage-North Central-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	147	147	125	125																																																																																
Road Kilometerage-North Central-Total			3,144.00	3,144	3,141.00	3,142	3,141	3,141	3,141	3,141	3,141	3,231	3,231	3,181	3,120	3,120	3,105	2,779	2,775	2,751	2,297																																																																																
Road Kilometerage-Nuwara Eliya-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Road Kilometerage-Nuwara Eliya-Total			1,106	1,097	1,097	1,097	1,097	1,097	1,094	1,103	1,103	1,103	1,103	1,103	1,101	-	-	-																																																																																			
Road Kilometerage-Polonnaruwa-Class E			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
