sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
banking-sector-number-of-banks-batticoloa						18	18	19	19	19	19	20	20	20	20	16	12	9																																																																																			
banking-sector-number-of-banks-colombo						30	32	33	32	32	32	34	33	33	33	31	31	31																																																																																			
banking-sector-number-of-banks-galle						22	22	22	22	20	19	20	19	19	18	17	17	17																																																																																			
banking-sector-number-of-banks-hambantota						16	16	17	17	18	18	18	18	16	15	14	14	13																																																																																			
banking-sector-number-of-banks-jaffna						19	19	20	20	19	18	19	19	19	17	16	8	6																																																																																			
banking-sector-number-of-banks-kalutara						17	17	16	16	17	17	19	19	19	17	17	17	16																																																																																			
banking-sector-number-of-banks-kandy						21	21	23	23	22	21	22	22	22	23	22	21	20																																																																																			
banking-sector-number-of-banks-kegalle						17	17	18	18	18	18	17	16	16	16	16	16	15																																																																																			
banking-sector-number-of-banks-kilinochchi						11	11	11	11	10	10	10	10	10	9	8	3	3																																																																																			
banking-sector-number-of-banks-kurunegala						18	18	18	18	20	19	21	21	21	20	19	19	19																																																																																			
banking-sector-number-of-banks-manner						11	11	11	11	10	10	10	10	9	8	8	7	4																																																																																			
banking-sector-number-of-banks-matale						17	16	16	16	17	17	15	14	13	13	13	12	12																																																																																			
banking-sector-number-of-banks-matara						18	18	18	18	19	18	19	19	18	18	18	18	18																																																																																			
banking-sector-number-of-banks-monaragala						17	17	17	17	16	15	14	13	12	12	12	11	11																																																																																			
banking-sector-number-of-banks-mulativu						7	7	7	7	6	6	6	6	6	5	2	2	2																																																																																			
banking-sector-number-of-banks-nuwara-eliya						16	16	16	16	15	14	14	13	12	12	12	12	11																																																																																			
banking-sector-number-of-banks-polonnaruwa						17	17	18	18	17	17	17	17	15	14	13	13	13																																																																																			
banking-sector-number-of-banks-puttalam						18	18	19	18	19	19	19	19	18	19	18	17	16																																																																																			
banking-sector-number-of-banks-ratnapura						18	18	18	17	17	17	18	18	17	16	15	15	15																																																																																			
banking-sector-number-of-banks-trincomalee						16	16	17	17	16	16	15	15	14	13	12	9	8																																																																																			
banking-sector-number-of-banks-vavuniya						17	17	17	17	16	15	16	16	15	15	12	9	8																																																																																			
banking-sector-number-of-branches-ampara						128	128	128	125	118	114	114	114	109	104	89	74	67																																																																																			
banking-sector-number-of-branches-anuradhapura						146	146	143	143	144	143	141	134	127	121	113	102	96																																																																																			
banking-sector-number-of-branches-badulla						123	121	121	121	119	119	120	118	115	111	107	102	100																																																																																			
banking-sector-number-of-branches-batticoloa						95	94	94	94	92	91	91	91	89	84	65	49	34																																																																																			
banking-sector-number-of-branches-colombo						715	716	706	701	791	773	773	749	741	728	687	664	640																																																																																			
banking-sector-number-of-branches-galle						172	172	172	170	178	173	173	164	159	156	146	133	125																																																																																			
banking-sector-number-of-branches-hambantota						116	115	114	114	107	107	107	103	96	91	85	79	69																																																																																			
banking-sector-number-of-branches-jaffna						149	149	148	149	145	139	138	137	133	117	99	77	59																																																																																			
banking-sector-number-of-branches-kalutara						165	165	163	161	162	161	163	158	153	149	137	128	123																																																																																			
