sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
banking-sector-number-of-branches-kandy			233	233	231	229	217	211	209	202	198	189	173	164	155																																																																																						
banking-sector-number-of-branches-kegalle			125	123	123	123	129	127	125	122	122	119	114	105	102																																																																																						
banking-sector-number-of-branches-kilinochchi			22	22	22	22	18	17	17	17	17	15	9	4	4																																																																																						
banking-sector-number-of-branches-kurunegala			215	211	210	205	191	190	191	182	179	175	161	152	150																																																																																						
banking-sector-number-of-branches-manner			25	25	25	25	20	20	20	20	19	18	15	14	8																																																																																						
banking-sector-number-of-branches-matale			76	75	73	72	83	83	82	80	78	72	68	64	62																																																																																						
banking-sector-number-of-branches-matara			144	144	144	142	143	140	139	135	131	124	116	114	105																																																																																						
banking-sector-number-of-branches-monaragala			80	79	77	77	72	71	70	68	65	63	60	50	48																																																																																						
banking-sector-number-of-branches-mulativu			24	24	24	24	19	19	19	19	18	14	4	4	4																																																																																						
banking-sector-number-of-branches-nuwara-eliya			87	87	87	87	92	91	90	88	87	84	81	78	74																																																																																						
banking-sector-number-of-branches-polonnaruwa			74	73	72	72	75	70	70	70	68	64	59	52	48																																																																																						
banking-sector-number-of-branches-puttalam			128	127	125	123	132	129	127	125	123	116	107	96	91																																																																																						
banking-sector-number-of-branches-ratnapura			149	149	148	147	145	143	143	140	137	131	125	112	107																																																																																						
banking-sector-number-of-branches-trincomalee			64	64	64	64	58	58	59	57	56	53	40	34	26																																																																																						
banking-sector-number-of-branches-vavuniya			32	32	32	32	37	37	37	37	34	31	23	19	9																																																																																						
banking-sector-number-of-other-banking-outlets-ampara			133	133	159	159	159	159	159	158	158	157	157	157	149																																																																																						
banking-sector-number-of-other-banking-outlets-anuradhapura			243	243	200	200	200	200	200	200	200	198	198	198	183																																																																																						
banking-sector-number-of-other-banking-outlets-badulla			163	163	147	147	147	147	147	147	147	146	146	146	137																																																																																						
banking-sector-number-of-other-banking-outlets-batticoloa			91	91	52	52	52	52	52	48	43	43	43	43	43																																																																																						
banking-sector-number-of-other-banking-outlets-colombo			316	316	284	284	284	284	284	284	284	287	287	288	273																																																																																						
banking-sector-number-of-other-banking-outlets-galle			210	210	209	209	209	209	209	209	209	192	192	192	180																																																																																						
banking-sector-number-of-other-banking-outlets-hambantota			120	119	105	105	105	105	105	105	105	105	105	105	105																																																																																						
banking-sector-number-of-other-banking-outlets-jaffna			346	344	141	141	141	141	141	141	141	141	141	141	131																																																																																						
banking-sector-number-of-other-banking-outlets-kalutara			92	92	87	87	87	87	88	88	88	88	88	88	88																																																																																						
banking-sector-number-of-other-banking-outlets-kandy			241	241	207	207	207	207	207	206	206	190	190	190	178																																																																																						
banking-sector-number-of-other-banking-outlets-kegalle			134	134	128	128	128	128	128	128	128	128	128	128	118																																																																																						
banking-sector-number-of-other-banking-outlets-kilinochchi			9	9	10	10	10	10	10	10	10	10	10	10	10																																																																																						
banking-sector-number-of-other-banking-outlets-kurunegala			352	352	193	193	193	193	193	193	193	193	193	193	180																																																																																						
banking-sector-number-of-other-banking-outlets-manner			19	19	19	19	19	19	19	19	19	19	19	19	19																																																																																						
banking-sector-number-of-other-banking-outlets-matale			94	94	114	114	114	114	114	114	114	99	99	99	99																																																																																						
