sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
class-c-roads			12,418	12,619	12,578	12,565	12,497	12,497	11,837	11,669	11,304	11,424	11,316	11,231	9,552	9,575	9,565	8,257	8,136	8,136	7,682	7,536	7,315	7,824	7,756	7,900																																																																											
class-d-roads			6,199	6,189	6,190	6,190	6,385	6,385	7,193	6,726	6,287	6,356	5,783	5,855	5,546	5,418	5,412	6,074	5,771	5,765	5,763	5,720	5,425	5,926	4,564	4,643																																																																											
expressways			272	218	170	170	170	170	161	121	95	95	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																											
class-e-roads			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,968	1,935	1,913	1,700	1,662	1,735	1,076	891	771																																																																											
total-roads			31,113	31,246	31,158	31,135	31,262	31,262	31,398	30,684	29,850	29,895	29,119	29,006	26,988	26,867	26,750	28,319	27,860	27,823	27,154	26,826	25,962	26,288	24,359	24,461																																																																											
