sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
road-kilometerage-north-central-class-a						491.00	491	492.00	492	492	492	492	495	495	495	495	494	495	495	495	495	495	495	495	495	494																																																																											
road-kilometerage-north-central-class-b						706.00	706	702.00	702	702	702	702	699	699	699	699	649	649	649	649	649	645	645	645	631	617																																																																											
road-kilometerage-north-central-class-c						1,227.00	1,227	1,227.00	1,227	1,211	1,211	1,211	1,211	1,211	1,230	1,282	1,282	1,260	1,261	1,251	1,067	1,067	1,067	613	613	683																																																																											
road-kilometerage-matale-class-b						290	283	283	283	283	283	283	283	283	283	283	268	268	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matale-class-c						301	301	301	300	301	301	299	303	303	303	303	303	303	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matale-class-d						178	177	177	177	177	177	177	177	177	177	177	177	177	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matale-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matara-class-a						141	135	135	135	135	135	135	135	135	135	135	135	135	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matara-class-b						294	257	257	257	257	257	257	252	252	252	252	252	252	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matara-class-c						288	288	288	288	288	288	288	288	296	300	300	300	309	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matara-class-d						243	243	243	243	243	243	243	243	248	248	248	248	228	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matara-expressways						30	11	11	11	11	11	11	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-mullaitivu-class-a						13	113	113	113	113	113	113	113	113	113	113	113	113	n.a.	n.a.	n.a.																																																																																
road-kilometerage-mullaitivu-class-b						102	103	103	103	103	103	103	102	92	102	102	102	102	n.a.	n.a.	n.a.																																																																																
road-kilometerage-mullaitivu-class-c						390	390	390	390	390	390	390	390	398	392	201	201	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-mullaitivu-class-d						17	17	17	17	17	17	17	17	24	20	151	151	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-mullaitivu-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-monaragala-class-a						204	204	204	204	204	204	204	204	204	204	204	204	204	n.a.	n.a.	n.a.																																																																																
road-kilometerage-monaragala-class-b						261	261	261	261	261	261	261	261	261	261	261	261	261	n.a.	n.a.	n.a.																																																																																
road-kilometerage-monaragala-class-c						580	580	580	580	580	580	580	558	558	558	558	558	558	n.a.	n.a.	n.a.																																																																																
road-kilometerage-monaragala-class-d						276	276	276	276	276	276	276	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-monaragala-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-matale-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
road-kilometerage-matale-total						875	866	866	865	866	866	864	868	868	868	868	853	853	-	-	-																																																																																
road-kilometerage-matara-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
road-kilometerage-matara-total						996	935	935	935	935	935	935	919	930	934	934	934	925	-	-	-																																																																																
road-kilometerage-mullaitivu-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
road-kilometerage-mullaitivu-total						621	622	622	622	622	622	622	621	627	627	567	567	214	-	-	-																																																																																
road-kilometerage-monaragala-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
road-kilometerage-monaragala-total						1,321	1,321	1,321	1,321	1,321	1,321	1,321	1,023	1,023	1,023	1,023	1,023	1,023	-	-	-																																																																																
