sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
road-kilometerage-matale-class-a			106	105	105	105	105	105	105	105	105	105	105	105	105	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kilinochchi-class-a			n.a	n.a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kilinochchi-class-b			n.a	n.a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kilinochchi-class-c			334	335	322	322	322	322	322	322	254	254	253	186	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kilinochchi-class-d			27	39	39	39	39	39	39	39	26	26	28	94	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kilinochchi-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-mannar-class-a			13	113	113	113	113	113	113	113	128	113	113	113	113	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-mannar-class-b			92	92	92	92	92	92	92	92	54	92	92	92	92	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-mannar-class-c			309	309	309	309	309	309	309	309	392	306	280	280	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-mannar-class-d			26	26	26	26	26	26	26	26	20	27	52	52	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-mannar-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kurunegala-class-a			197	196	196	196	196	196	196	197	197	197	197	197	198	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kurunegala-class-b			640	638	638	638	638	638	638	638	638	638	638	638	610	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kurunegala-class-c			1,254	1,254	1,254	1,254	1,254	1,254	1,254	1,339	668	668	819	668	668	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kurunegala-class-d			488	488	488	488	488	488	488	527	842	842	734	842	842	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kurunegala-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kegalle-class-a			144	144	144	144	144	144	144	144	144	144	144	144	144	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kegalle-class-b			363	369	369	365	365	365	365	365	365	365	365	365	365	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kegalle-class-c			553	575	575	559	559	559	559	559	559	477	656	477	647	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kegalle-class-d			618	587	587	714	714	714	714	714	714	483	632	483	507	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kegalle-expressways			2	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-kandy-total			2,005	2,027	2,027	2,027	2,027	2,027	2,032	2,018	2,018	2,011	2,011	2,011	2,009	-	-	-																																																																																			
road-kilometerage-kilinochchi-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-kilinochchi-total			n.a	n.a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	281	281	281	281	-	-	-	-																																																																																			
road-kilometerage-mannar-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-mannar-total			540	540	540	540	540	540	540	540	594	537	537	537	205	-	-	-																																																																																			
road-kilometerage-kurunegala-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-kurunegala-total			2,576	2,576	2,576	2,576	2,576	2,576	2,576	2,701	2,345	2,345	2,388	2,345	2,317	-	-	-																																																																																			
road-kilometerage-kegalle-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-kegalle-total			1,680	1,675	1,675	1,781	1,781	1,781	1,781	1,781	1,781	1,468	1,797	1,468	1,662	-	-	-																																																																																			
