sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
road-kilometerage-central-class-c			1,664.00	1,664	1,666.00	1,666	1,666	1,666	1,666	1,665	1,665	1,665	1,665	1,665	1,665	1,665	1,665	1,813	1,813	1,813	1,813	1,813	1,813																																																																														
road-kilometerage-central-class-d			580.00	580	578.00	578	578	578	578	578	578	578	578	578	578	578	578	325	325	325	325	325	325																																																																														
road-kilometerage-central-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
road-kilometerage-eastern-class-a			620.00	620	620.00	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620																																																																														
road-kilometerage-eastern-class-b			551.00	551	551.00	551	551	551	551	551	551	551	551	528	528	528	528	527	527	527	527	484	484																																																																														
road-kilometerage-eastern-class-c			724.00	889	848.00	848	817	817	817	722	722	722	722	722	722	722	722	566	556	556	556	556	556																																																																														
road-kilometerage-eastern-class-d			243.00	276	273.00	273	263	263	263	376	376	376	376	376	376	376	376	1,003	1,003	1,003	1,003	1,003	1,003																																																																														
road-kilometerage-eastern-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
road-kilometerage-colombo-class-a			166	166	166	166	166	166	166	166	166	166	166	166	166	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-colombo-class-b			298	267	261	261	261	261	261	258	258	258	258	258	258	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-colombo-class-c			242	242	242	242	242	242	211	211	211	211	211	211	211	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-colombo-class-d			162	162	162	162	162	162	193	193	193	188	193	188	166	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-colombo-expressways			36	36	34	34	34	34	34	9	9	9	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-gampaha-class-a			128	128	128	128	128	128	128	128	128	128	128	128	128	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-gampaha-class-b			618	622	622	622	622	622	621	621	616	610	610	610	610	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-gampaha-class-c			385	385	385	385	385	385	370	370	370	370	370	370	370	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-gampaha-class-d			499	499	499	499	499	499	515	515	515	506	515	506	476	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-galle-class-a			97	97	97	97	97	97	97	97	97	97	97	97	97	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-galle-class-b			392	393	393	393	393	393	393	393	393	393	393	393	393	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-galle-class-c			387	387	387	387	387	387	387	387	389	389	389	389	381	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-galle-class-d			272	272	272	272	272	272	272	272	272	272	272	272	283	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-galle-expressways			60	60	60	60	60	60	60	42	42	42	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-central-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	386	386	386	300																																																																																
road-kilometerage-central-total			3,986.00	3,986	3,991.00	3,991	3,991	3,991	3,991	3,990	3,990	3,982	3,982	3,967	3,963	3,962	3,962	4,302	4,289	4,289	4,204																																																																																
road-kilometerage-eastern-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	141	141	141	141																																																																																
road-kilometerage-eastern-total			2,138.00	2,332	2,292.00	2,292	2,251	2,251	2,251	2,269	2,269	2,269	2,269	2,246	2,246	2,246	2,246	2,857	2,847	2,847	2,720																																																																																
road-kilometerage-colombo-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-colombo-total			903	873	870	864	864	864	865	837	837	832	828	823	801	-	-	-																																																																																			
road-kilometerage-galle-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-galle-total			1,208	1,209	1,209	1,209	1,209	1,209	1,209	1,191	1,192	1,192	1,150	1,150	1,153	-	-	-																																																																																			
