sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
road-kilometerage-northern-class-a						734.00	734	734.00	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734	734																																																																											
road-kilometerage-northern-class-b						525.00	525	525.00	525	525	525	525	524	524	524	524	524	524	524	524	524	524	524	524	524	524																																																																											
road-kilometerage-northern-class-c						1,972.00	1,972	1,959.00	1,959	1,959	1,959	1,959	1,959	1,886	1,886	1,825	1,458	-	-	-	334	334	334	334	334	334																																																																											
road-kilometerage-northern-class-d						148.00	148	161.00	161	161	161	161	161	134	134	134	502	-	-	-	745	745	745	745	745	745																																																																											
road-kilometerage-northern-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																											
road-kilometerage-north-western-class-a						353.00	353	352.00	352	352	352	352	353	353	353	353	353	354	354	354	408	408	408	408	408	354																																																																											
road-kilometerage-north-western-class-b						975.00	975	1,003.00	1,003	1,003	1,003	1,003	971	971	971	971	962	934	919	919	919	919	919	919	921	921																																																																											
road-kilometerage-north-western-class-c						1,914.00	1,914	1,914.00	1,914	1,914	1,914	1,914	1,429	1,091	1,091	1,091	1,261	1,091	1,092	1,092	1,077	1,077	1,077	1,077	1,064	1,065																																																																											
road-kilometerage-north-western-class-d						831.00	831	831.00	831	831	831	831	1,446	1,065	1,065	1,065	845	1,065	1,065	1,065	1,032	1,032	1,032	1,032	1,018	1,015																																																																											
road-kilometerage-north-western-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																											
road-kilometerage-north-central-class-d						721.00	721	721.00	721	736	736	736	736	736	722	756	756	756	715	709	421	421	419	419	419	419																																																																											
road-kilometerage-north-central-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																											
road-kilometerage-nuwara-eliya-class-a						120	120	120	120	120	120	120	120	120	120	120	120	120	n.a.	n.a.	n.a.																																																																																
road-kilometerage-nuwara-eliya-class-b						501	492	492	492	492	492	492	492	492	492	492	492	489	n.a.	n.a.	n.a.																																																																																
road-kilometerage-nuwara-eliya-class-c						436	436	436	436	436	436	433	443	443	442	443	443	443	n.a.	n.a.	n.a.																																																																																
road-kilometerage-nuwara-eliya-class-d						49	49	49	49	49	49	49	49	49	49	49	49	49	n.a.	n.a.	n.a.																																																																																
road-kilometerage-nuwara-eliya-expressways						-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																
road-kilometerage-polonnaruwa-class-a						143	143	143	143	143	143	143	143	143	143	143	143	143	n.a.	n.a.	n.a.																																																																																
road-kilometerage-polonnaruwa-class-b						235	230	230	230	230	230	230	230	230	230	230	202	202	n.a.	n.a.	n.a.																																																																																
road-kilometerage-polonnaruwa-class-c						486	486	486	471	471	471	471	471	471	542	542	542	494	n.a.	n.a.	n.a.																																																																																
road-kilometerage-polonnaruwa-class-d						23	23	23	39	39	39	39	39	39	40	40	40	52	n.a.	n.a.	n.a.																																																																																
road-kilometerage-northern-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																													
road-kilometerage-northern-total						3,379.00	3,379	3,379.00	3,379	3,379	3,379	3,379	3,379	3,279	3,279	3,219	3,219	1,259	1,259	1,259	2,337	2,338	2,337	2,338																																																																													
road-kilometerage-north-western-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	39	39	39																																																																													
road-kilometerage-north-western-total						4,074.00	4,074	4,101.00	4,101	4,101	4,101	4,101	4,199	3,481	3,481	3,523	3,471	3,443	3,429	3,429	3,475	3,475	3,475	3,475																																																																													
road-kilometerage-north-central-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	147	147	125	125																																																																													
road-kilometerage-north-central-total						3,144.00	3,144	3,141.00	3,142	3,141	3,141	3,141	3,141	3,141	3,231	3,231	3,181	3,120	3,120	3,105	2,779	2,775	2,751	2,297																																																																													
road-kilometerage-nuwara-eliya-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
road-kilometerage-nuwara-eliya-total						1,106	1,097	1,097	1,097	1,097	1,097	1,094	1,103	1,103	1,103	1,103	1,103	1,101	-	-	-																																																																																
road-kilometerage-polonnaruwa-class-e						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																
