sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
road-kilometerage-southern-class-a			353.00	353	347.00	347	347	347	347	347	347	347	347	347	347	347	347	325	353	353	353	353	353																																																																														
road-kilometerage-southern-class-b			1,163.00	1,163	1,154.00	1,154	1,154	1,154	1,154	1,149	1,149	1,019	1,019	1,019	1,019	1,019	988	976	976	967	967	939	901																																																																														
road-kilometerage-southern-class-c			915.00	915	915.00	915	915	915	915	915	924	1,026	1,026	1,026	996	1,009	1,009	1,061	950	950	950	838	545																																																																														
road-kilometerage-southern-class-d			715.00	715	715.00	715	715	715	715	715	720	803	803	803	775	775	775	1,107	883	883	883	883	590																																																																														
road-kilometerage-southern-expressways			162.00	108	71.00	71	71	71	71	42	42	42	-	-	-	-	-	-	-	-	-	-	-																																																																														
road-kilometerage-sabaragamuwa-class-a			416.00	416	416.00	416	416	416	416	416	416	416	416	416	416	416	416	416	415	415	415	415	415																																																																														
road-kilometerage-sabaragamuwa-class-b			804.00	804	809.00	804	804	804	804	804	804	804	804	804	804	804	749	694	692	692	692	692	684																																																																														
road-kilometerage-sabaragamuwa-class-c			1,233.00	1,233	1,268.00	1,268	1,247	1,247	1,247	1,247	1,247	1,247	1,148	1,260	1,260	1,260	1,260	818	818	818	818	818	818																																																																														
road-kilometerage-sabaragamuwa-class-d			1,406.00	1,406	1,355.00	1,355	1,544	1,544	1,544	1,544	1,544	1,544	937	892	892	892	892	304	304	304	301	312	312																																																																														
road-kilometerage-sabaragamuwa-expressways			-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																														
road-kilometerage-puttalam-class-a			156	156	156	156	156	156	156	156	156	156	156	156	156	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-puttalam-class-b			335	365	365	365	365	365	365	333	333	333	333	324	324	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-puttalam-class-c			661	661	661	661	661	661	661	615	423	423	442	423	423	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-puttalam-class-d			344	334	344	344	344	344	344	394	223	223	203	223	223	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-puttalam-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-polonnaruwa-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-ratnapura-class-a			272	272	272	272	272	272	272	272	272	272	272	272	272	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-ratnapura-class-b			441	440	440	440	440	440	440	440	440	440	440	440	439	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-ratnapura-class-c			680	693	693	688	688	688	688	688	688	671	736	670	614	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-ratnapura-class-d			788	768	768	830	830	830	830	830	830	455	533	455	385	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-ratnapura-expressways			-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	n.a.	n.a.																																																																																			
road-kilometerage-southern-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	53	53	53																																																																																
road-kilometerage-southern-total			3,309.00	3,255	3,204.00	3,204	3,204	3,204	3,204	3,169	3,183	3,236	3,194	3,164	3,137	3,150	3,119	3,547	3,215	3,206	3,206																																																																																
road-kilometerage-sabaragamuwa-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	912	912	912	912																																																																																
road-kilometerage-sabaragamuwa-total			3,860.00	3,860	3,847.00	3,843	4,011	4,011	4,011	4,011	4,011	3,305	3,777	3,305	3,371	3,371	3,317	3,144	3,141	3,141	3,137																																																																																
road-kilometerage-puttalam-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-puttalam-total			1,495	1,525	1,525	1,525	1,525	1,525	1,525	1,498	1,136	1,136	1,135	1,127	1,126	-	-	-																																																																																			
road-kilometerage-polonnaruwa-total			886	882	882	882	882	882	882	882	882	955	955	926	891	-	-	-																																																																																			
road-kilometerage-ratnapura-class-e			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
road-kilometerage-ratnapura-total			2,180	2,172	2,172	2,230	2,230	2,230	2,230	2,230	2,230	1,837	1,980	1,836	1,709	-	-	-																																																																																			
