sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Merchandise Imports				19,937.08	22,232.72	20,979.80	19,400.10	18,934.60	19,416.80	18,002.80	19,190.20	20,268.80	13,450.90	10,206.60	14,091.20	11,296.50	10,253.00	8,863.20	7,999.80	6,671.90	6,105.60	5,974.40	7,319.80	5,979.30	5,889.50	5,863.80	5,438.80	5,311.10	4,767.30	4,011.30	3,505.40	3,036.60	2,686.40	2,226.50	2,240.20	2,075.10	1,973.20	2,044.30	1,928.10	1,921.30	1,994.10	1,876.90	2,051.20	1,449.40	1,025.40	726.20	643.10	767.30	701.10	412.90	360.60	373.70	391.80	446.10	395.80	408.40	423.80	403.60	411.60	392.50	400.30	376.70	421.30	411.20	359.70	370.40	331.00	310.40	290.60	342.90	352.00	317.90	246.30																												
Merchandise Exports				11,940.01	11,889.63	11,360.40	10,309.70	10,546.50	11,130.10	10,394.30	9,773.50	10,558.80	8,625.80	7,084.50	8,110.60	7,640.00	6,882.70	6,346.70	5,757.20	5,133.30	4,699.00	4,816.90	5,522.30	4,610.10	4,797.80	4,639.00	4,095.10	3,806.60	3,208.60	2,863.70	2,460.80	2,039.50	1,983.90	1,547.10	1,477.20	1,395.70	1,209.70	1,315.30	1,462.30	1,064.10	1,013.70	1,065.50	1,064.70	981.40	845.10	767.10	558.80	563.40	511.20	366.40	317.90	325.40	338.70	320.70	332.00	339.40	351.50	400.90	371.10	358.70	370.20	358.50	377.20	372.30	341.00	350.50	372.10	397.50	362.00	314.40	309.30	387.00	296.50																												
Merchandise Export Value Index (1997=100)													342.00	296.80	320.40	308.40	261.30	232.80	213.00	180.70	164.10	156.90	153.20	118.60	113.20	100.00																																																																											
Merchandise Export Volume Index (1997=100)													143.20	135.40	154.40	153.80	143.30	138.00	129.40	120.10	116.20	112.40	122.40	103.50	98.50	100.00																																																																											
Merchandise Export Unit Value Index (1997=100)													238.90	219.20	207.50	200.50	182.40	168.60	164.50	150.50	141.20	139.60	125.20	114.60	114.90	100.00																																																																											
Merchandise Import Value Index (1997=100)													441.20	338.90	440.90	361.40	308.30	257.60	234.50	186.00	168.90	154.00	152.10	115.80	109.90	100.00																																																																											
Merchandise Import Volume Index (1997=100)													180.10	159.40	176.30	169.50	163.40	152.80	148.80	136.50	122.70	110.10	122.80	108.70	108.50	100.00																																																																											
Merchandise Import Unit Value Index (1997=100)													244.90	212.60	250.10	213.10	188.70	168.60	157.60	136.30	137.70	139.90	123.80	106.40	101.30	100.00																																																																											
Terms of Trade (1997=100)													97.50	103.10	83.00	94.00	96.70	100.00	104.40	110.40	102.50	99.80	101.10	107.70	113.40	100.00																																																																											
Merchandise Export Value Index																																																																																																					
Merchandise Export Volume Index																																																																																																					
Merchandise Export Unit Value Index																																																																																																					
Merchandise Import Value Index																																																																																																					
Merchandise Import Volume Index																																																																																																					
Merchandise Import Unit Value Index																																																																																																					
Terms of Trade																																																																																																					
Merchandise Export Value Index (2010=100)				218.97	198.34	177.70	153.90	146.80	149.10	137.90	127.80	119.80	100.00																																																																																								
Merchandise Export Volume Index (2010=100)				147.18	137.34	136.70	127.00	128.00	122.30	117.30	110.00	110.20	100.00																																																																																								
Merchandise Export Unit Value Index (2010=100)				148.78	144.42	130.00	121.20	114.70	121.90	117.50	116.20	108.70	100.00																																																																																								
Merchandise Import Value Index (2010=100)				235.16	237.91	156.50	186.40	169.70	167.20	153.20	161.10	147.90	100.00																																																																																								
Merchandise Import Volume Index (2010=100)				164.21	174.32	170.80	159.90	148.20	134.00	122.30	124.20	123.60	100.00																																																																																								
Merchandise Import Unit Value Index (2010=100)				143.20	136.48	91.60	116.60	114.50	124.80	125.30	129.70	119.70	100.00																																																																																								
Terms of Trade (2010=100)				103.89	105.82	105.20	103.90	100.20	97.60	93.80	89.60	90.90	100.00																																																																																								
