sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
thrift-&-credit-co-operative-societies--granted-total			27,708	25,189	23,256	15,664	18,200	7,060	4,808.00	4,766.00	4,175.00	3,986.00	3,205.00	3,093.00	3,105.00	2,584.00	2,525.00	2,770.00	2,770	2,921	3,023	2,996	2,845	2,483	1,362	2,335	1,913																																																																										
thrift-&-credit-co-operative-societies--granted-agriculture-&-animal-husbandry			3,610	3,282	3,030	3,163	5,049	1,959	1,734.00	1,561.00	1,461.00	1,243.00	1,037.00	955.00	755.00	635.00	562.00	496.00	496	563	738	697	351	561	313	352	299																																																																										
thrift-&-credit-co-operative-societies--granted-small-industries			6,087	5,534	5,109	2,450	2,699	1,047	357.00	476.00	434.00	483.00	273.00	265.00	208.00	192.00	172.00	815.00	815	249	62	59	156	245	113	99	99																																																																										
thrift-&-credit-co-operative-societies--granted-housing-electrification-&-water			9,861	8,965	8,277	7,073	6,583	2,554	1,460.00	1,603.00	1,360.00	915.00	695.00	732.00	1,001.00	913.00	993.00	470.00	470	1,080	1,233	1,170	1,428	694	352	208	182																																																																										
thrift-&-credit-co-operative-societies--granted-commerce-&-other-projects			6,978	6,344	5,857	2,173	2,331	904	734.00	664.00	564.00	673.00	865.00	796.00	503.00	501.00	369.00	312.00	312	302	285	270	273	458	279	645	542																																																																										
thrift-&-credit-co-operative-societies--granted-other			1,171	1,065	983	805	1,538	597	523.00	462.00	357.00	672.00	335.00	345.00	638.00	343.00	429.00	677.00	677	727	705	801	637	525	305	877	791																																																																										
