sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
government-schools-school-density		6.50	6.50	6.50	6.40	6.40	6.50	6.50	6.50	7	7	7	7	7	6	6	6	6	6	6	6																																																																																
government-schools-student/teacher-ratio		16.20	16.30	17.00	17.00	17	18	17	18	18	18	18	18	19	19	19	19	21	21	21	21																																																																																
education-age-specific-enrolment-ratio		n.a.	n.a.	95.40	92.80	96.30	97.40	98.40	99.20	14	13	12	81			72		75	73	63	65																																																																																
education-primary-net-enrolment-ratio		94.39	94.06	91.90	91.80	93.90	95.90	97.50	98.50	99	98		90			90	98		97	97	98																																																																																
education-government-schools		10,152	10,155	10,169	10,175	10,194	10,162	10,144	10,121	10,012	9,905	9,731	9,685	9,410	9,662	9,678	9,714	9,723	9,765	9,790	9,829	9,891	9,976	10,058	10,313	10,358	10,312	10,239	10,191	10,160	10,042	9,998	9,864	9,805	9,771	9,709	9,657	9,634	9,556	9,575	9,544	9,521	9,117	9,052	9,072	8,673	8,655	8,622	8,573	8,571	8,551	8,585	9,928	9,845	9,773	8,433	8,409	5,660	5,508	4,936	4,592	4,572	4,394	4,152	4,035	3,921	3,735	3,675	3,581	3,449	3,379	3,286	3,188	3,122	3,091																										
education-government-students		4,032,211	4,063,685	4,149,661	4,214,772	4,165,955	4,143,107	4,129,534	4,078,798	4,037,095	4,004,059	3,972,983	3,940,072	3,864,824	3,930,374	3,942,185	3,837,548	3,942,077	3,870,628	3,941,685	4,027,075	4,187,146	4,193,908	4,134,026	4,134,838	4,124,108	4,132,749	4,216,571	4,193,971	4,172,897	4,155,035	4,135,115	4,111,272	4,179,520	4,058,843	3,974,605	3,864,187	3,738,633	3,625,897	3,553,027	3,484,661	3,451,358	3,389,776	3,208,191	3,083,725	2,566,381	2,571,984	2,560,479	2,611,925	2,689,700	2,625,241	2,828,070	2,716,187	2,668,392	2,633,637	2,588,502	2,565,891	2,556,191	2,540,913	2,482,613	2,268,064	2,313,852	2,192,379	2,098,941	1,886,138	1,833,074	1,693,879	1,637,008	1,593,881	1,548,197	1,476,146	1,410,514	1,349,345	1,243,871	1,177,695																										
education-government-teachers		248,500	249,494	243,365	247,334	241,018	235,999	236,999	232,990	223,752	223,724	216,397	212,457	214,307	213,212	211,424	206,559	189,234	187,337	186,695	186,999	189,485	186,097	188,340	188,029	179,589	185,842	187,574	187,586	186,926	175,813	170,735	178,333	153,243	147,578	146,712	149,039	147,513	140,190	134,299	133,802	135,869	141,185	142,207	129,971	117,735	110,563	104,043	102,656	102,649	96,466	94,858	96,426	95,273	92,982	87,471	88,664	91,981	93,789	81,109	76,353	70,499	69,658	66,113	58,546	55,410	50,186	48,342	49,283	47,426	44,553	40,020	38,086	33,920	32,704																										
education-pirivenas-schools		819	816	796	763	753	754	749	747	734	734	720	719	697	691	658	654	653	651	598	599	583	561	560	555	550	545	514	509	487	478	459	457	430	431	427	372	368	307	314	291	287	282	289	256	259	259	289	260	270	270																																																		
education-pirivenas-students		69,500	69,878	64,802	60,875	61,855	66,003	64,806	62,897	66,116	64,608	62,861	62,091	58,098	56,065	54,953	55,292	55,173	56,875	55,733	54,968	52,906	51,121	49,633	51,916	50,991	45,620	46,777	46,314	46,709	43,247	40,015	38,491	37,889																																																																			
education-pirivenas-teachers																																																																																																					
education-private-schools		124	120	118	106	106	105	104	103	103	98	98	98	98	92	94	93	85	85	85	80	78	78	77	79	75	79	79	79	66	63	63	61	61	59	59	59	37	37	37	37	37	37	39	46	44	44	44	44	44	44																																																		
education-private-students		137,049	138,726	139,070	142,032	138,657	136,407	136,228	131,397	130,344	125,669	122,041	117,362	114,974	115,070	113,884	107,874	106,262	100,683	101,047	97,174	97,206	95,383	93,445	91,536	85,890	86,707	87,674	87,674	83,887	87,004	83,568	82,593	83,816																																																																			
education-private-teachers																																																																																																					
