sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
BOP-Primary Income (net)			-2,101.23	-2,462.00	-2,384.82	-2,318.53	-2,184.05	-2,012.77	-1,808.10	-1,751.40	-1,218.60	-647.00	-616.90	-487.50	-972.40	-357.80	-388.90	-299.50	-202.90	-171.70	-252.50	-266.70	-304.60	-253.70	-179.80	-159.50	-203.70																																																																										
BOP-Secondary Income (net)			6,206.77	5,765.95	6,162.56	6,326.58	6,453.05	6,193.31	6,227	5,639.50	5,392.00	4,642.80	3,660.30	3,004.50	2,666.10	2,310.60	2,004.10	1,828.10	1,380.30	1,241.20	1,128.00	1,005.20	997.80	912.80	900.70	832.30	759.10																																																																										
Balance of Payments (BOP)-Trade Deficit			-6,007.95	-7,997.07	-10,343.09	-9,619.38	-9,090.33	-8,388.10	-8,286.70	-7,608.50	-9,416.70	-9,710.00	-4,825.10	-3,122.10	-5,980.60	-3,656.00	-3,370.30	-2,516.00	-2,243.00	-1,538.80	-1,406.50	-1,157.50	-1,797.50	-1,369.20	-1,091.20	-1,224.80	-1,343.80																																																																										
BOP-Current Account Deficit			-1,083.00	-1,843.40	-2,799.05	-2,309.00	-1,942.10	-1,882.77	-1,987.70	-2,540.60	-3,981.70	-4,615.40	-1,075.00	-214.30	-3,885.60	-1,400.20	-1,498.50	-650.50	-647.10	-71.20	-236.40	-243.20	-1,066.20	-563.30	-225.10	-392.80	-683.30																																																																										
BOP-Capital Account (net)			28.06	23.11	14.36	10.93	25.52	46.30	58.30	70.90	130.30	164.40	163.90	232.90	290.60	268.80	290.60	249.80	64.40	73.80	65.00	197.50	50.20	80.30	79.60	87.10	95.90																																																																										
BOP-Direct Investment-Assets			14.54	77.36	67.86	71.79	236.81	52.99	66.80	65.10	63.90																																																																																										
BOP-Direct Investments-Liabilities			433.87	743.47	1,614.04	1,372.72	898.08	679.66	893.60	932.60	941.10																																																																																										
BOP-Portfolio Investment-Assets			0	0	0	-0.09	-0.01	0.02	-0.20	0	-10.00																																																																																										
BOP-Portfolio Investments-Liabilities			-2,382.89	2,313.08	129.14	1,771.49	993.15	686.44	2,065	2,068.40	2,115.70																																																																																										
BOP-Other Investments-Currency and Deposits-Assets			64.44	-92.68	79.55	78.33	4.82	142.69	275.70	-458.70	161.90																																																																																										
BOP-Other Investments-Currency and Deposits-Liabilities			-14.77	167.49	-632.43	-228.36	-609.20	1,456.98	-292.20	107.70	446.70																																																																																										
BOP-Other Investments-Loans-Assets			0	0	0	0	0	0	0	0	0.00																																																																																										
BOP-Other Investments-Loans-Liabilities			326.57	-245.34	1,619.85	1,888.72	753.36	759.17	1,712.90	1,118.10	3,070.40																																																																																										
BOP-Other Investments-Trade Credits-Assets			-224.02	-3.84	176.79	34.63	-66.67	116.22	383	225.40	90.20																																																																																										
BOP-Other Investments-Trade Credits-Liabilities			184.87	-28.41	247.50	194.76	108.67	-400.64	-406.60	-234.90	-570.80																																																																																										
BOP-Other Investments-Other accounts receivable-Assets			23.78	196.37	115.75	-31.07	378.95	244.50	314.30	42.20	110.50																																																																																										
BOP-Other Investments-Other accounts payable-Liabilities			-113.63	24.11	-162.39	61.34	54.96	41.47	151.40	57.60	-562.70																																																																																										
BOP-Special Drawing Rigths-Liabilities			0	0	0	0	0	0	0	0	0.00																																																																																										
BOP-Reserve Assets			-1,704.22	337.26	-1,001.91	2,784.29	-472.06	354.41	1,548.50	1,111.70	760.40																																																																																										
BOP-Reserve Assets-Months of Imports																																																																																																					
BOP-Overall Balance			-2,327.69	376.56	-1,102.86	2,068.45	-499.77	-1,488.73	1,368.90	985.40	151.20	-1,059.40	921.20	2,566.00	-1,225.40	530.60	203.50	501.60	-205.30	502.40	338.00	188.60	-521.90	-252.30	36.70	162.70	-67.80	51.50	239.70																																																																								
