sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
net-loans-and-advances						781,864	743,789	701,353	631,191	528,270	453,009	434,383	341,590	314,104	267,365	206,320	186,417	175,719	165,659	136,818	99,070	102,628	90,620	78,406	79,176	78,371	70,084	57,513																																																																									
net-non-performing-advances						38,154	28,952	25,684	21,514	19,076	25,488	35,659	26,609	15,846	13,746	11,880	16,634	13,391	9,304	7,531	6,892	6,913	6,715	7,355	9,412	8,988	9,743	5,887																																																																									
investments						845,182	630,943	542,983	568,634	535,247	534,460	533,571	470,983	349,032	339,922	317,100	276,379	219,417	203,721	190,031	181,232	168,885	159,859	134,035	110,716	95,924	86,196	76,403																																																																									
interest-income						174,945	172,994	160,565	146,119	119,795	104,537	101,076	91,633	76,940	64,514	62,704	65,206	57,225	46,856	37,445	30,579	30,270	31,125	27,940	27,317	22,799	20,576	17,890																																																																									
interest-expenses						117,318	121,251	115,224	104,965	79,225	64,428	70,214	73,606	53,925	39,595	40,440	49,176	45,111	33,528	23,390	18,281	16,660	18,537	19,935	21,236	16,590	15,203	13,137																																																																									
net-interest-income						57,627	51,743	45,341	41,154	40,570	40,109	30,862	18,027	23,015	24,919	22,265	16,030	12,114	13,328	14,055	12,298	13,610	12,588	8,006	6,081	6,209	5,373	4,753																																																																									
non-interest-income						6,714	5,256	6,532	9,013	5,334	5,781	12,072	8,801	7,160	6,978	15,538	9,812	7,990	3,977	1,537	2,190	2,200	2,647	2,347	1,424	1,400	1,160	799																																																																									
number-of-banks-ampara						5	5	5	5	4	4	5	5	5	5	5	5	4																																																																																			
number-of-banks-anuradhapura						6	6	6	6	6	6	8	7	6	6	6	6	5																																																																																			
number-of-banks-badulla						5	5	5	5	5	5	6	5	5	5	5	5	4																																																																																			
number-of-banks-batticoloa						5	5	6	6	6	6	7	7	7	7	6	5	3																																																																																			
number-of-banks-colombo						6	6	7	7	7	7	9	9	9	9	9	9	9																																																																																			
number-of-banks-galle						5	5	5	5	5	5	7	7	7	6	6	6	6																																																																																			
number-of-banks-hambantota						5	5	6	6	6	6	6	6	6	6	6	6	6																																																																																			
number-of-banks-jaffna						5	5	5	5	5	5	6	6	6	4	4	1	1																																																																																			
number-of-banks-kalutara						5	5	5	5	5	5	7	7	7	6	6	6	6																																																																																			
number-of-banks-kandy						5	5	6	6	6	6	7	7	7	8	8	7	7																																																																																			
number-of-banks-kegalle						5	5	6	6	6	6	6	6	6	6	6	6	6																																																																																			
number-of-banks-kilinochchi						3	3	3	3	2	2	2	2	2	2	2	1	1																																																																																			
number-of-banks-kurunegala						5	5	5	5	5	5	7	7	7	6	6	6	6																																																																																			
number-of-banks-manner						4	4	4	4	4	4	4	4	3	2	2	2	1																																																																																			
number-of-banks-matale						5	5	5	5	5	5	5	4	4	4	4	4	4																																																																																			
number-of-banks-matara						6	6	6	6	6	6	7	7	6	6	6	6	6																																																																																			
number-of-banks-monaragala						5	5	5	5	4	4	4	4	4	4	4	4	4																																																																																			
