sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
sri-lanka					22,156	21,919	21,803	21,670	21,444	21,209	20,970	20,778	20,585	20,425	20,892	20,675	20,476	20,246	20,039	19,858	19,644	19,435	19,173	18,921	18,797	19,102	19,043	18,774	18,552	18,336	18,136	17,891	17,646	17,426	17,267	17,015	16,825	16,599	16,373	16,127	15,842	15,603	15,417	15,196	14,847	14,747	14,472	14,190	13,942	13,717	13,496	13,284	13,091	12,861	12,690	12,514	12,252	11,992	11,703	11,439	11,164	10,903	10,582	10,443	10,168	9,896	9,625	9,388	9,165	8,929	8,589	8,385	8,098	7,940	7,742	7,544																									
male					10,727	10,613	10,556	10,492	10,382	10,268	10,153	10,056	9,963	9,888	10,357	10,273	10,174	10,060	9,956	9,889	9,782	9,678	9,475	9,350	9,359	9,745	9,336	9,570	9,457	9,347	9,246	9,121	8,996	8,884	8,803	8,674	8,577																																																																
female					11,429	11,306	11,247	11,178	11,062	10,941	10,817	10,715	10,616	10,536	10,512	10,402	10,302	10,186	10,083	9,969	9,862	9,757	9,698	9,571	9,438	9,357	9,870	9,204	9,095	8,989	8,890	8,770	8,650	8,542	8,464	8,341	8,248																																																																
growth-rate						0.50	0.60	1.10	1.10	1.10	0.90	0.90	0.80	1.00	1.10	1.00	1.10	1.00	1.20	1.10	1.10	1.20	1.30	1.30	1.20	1.40																																																																											
crude-birth-rate-all-island						13.80	14.60	15.10	15.20	15.60	16.00	16.90	17.80	17.60	17.30	17.60	18.40	18.80	19.30	18.80	18.90	18.80	18.90	19.10	18.90	17.30																																																																											
crude-death-rate-all-island						6.00	6.60	6.40	6.50	6.20	6.30	6.20	6.20	6.00	5.90	6.30	5.90	5.90	5.90	5.90	6.70	5.90	6.00	5.80	6.00	6.10																																																																											
