sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
gdp-current-market-prices-(2010-series)-industries-manufacture-of-food,-beverages-&-tobacco-pr			945,657.68	897,828.76	898,825.52	842,026.71	856,778.01	823,460.98	759,353.83	801,748.17	798,849.19	604,367.16	433,768.82																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-textiles,-wearing-apparel-an			686,347.34	727,383.45	656,611.65	603,272.29	576,088.57	399,290.77	415,362.59	365,684.93	346,376.87	289,134.12	264,905.03																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-wood-and-of-products-of-wood			25,794.00	27,699.31	28,381.13	23,743.14	24,230.44	29,022.85	22,268.64	27,364.95	23,397.22	28,202.92	26,317.66																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-paper-products,-printing-an			58,875.60	63,175.87	53,116.70	50,404.19	48,768.09	39,574.62	36,584.61	28,261.48	26,988.73	28,324.87	26,093.79																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-coke-and-refined-petroleum-p			63,059.88	83,917.04	45,276.69	30,496.48	5,048.89	20,399.28	66,690.36	66,063.92	40,338.83	5,872.39	22,280.52																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-chemical-products-and-basic			114,429.58	115,077.42	74,162.76	80,885.04	85,181.69	73,803.71	74,134.50	62,740.18	54,254.30	41,292.75	69,450.31																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-rubber-and-plastic-products			95,989.10	101,897.66	91,498.20	86,306.07	80,908.89	81,853.33	77,753.54	74,995.22	85,188.37	66,870.98	63,256.61																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-other-non-metallic-mineral			155,580.94	166,362.52	128,271.36	120,605.02	105,854.13	92,861.72	110,571.12	124,830.84	143,788.42	102,810.73	79,267.18																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-basic-metals-and-fabricated			66,775.48	68,917.46	58,770.16	47,452.32	41,259.08	39,297.56	33,634.77	34,299.51	32,085.60	29,705.48	31,665.03																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-machinery-and-equipment-i.e.			78,933.65	73,356.43	61,386.57	57,387.39	51,765.39	46,309.08	33,421.40	34,584.34	33,734.73	34,118.70	35,909.13																																																																																								
gdp-current-market-prices-(2010-series)-industries-manufacture-of-furniture			64,850.01	65,297.82	52,007.15	54,751.05	43,014.70	78,568.88	78,966.59	57,966.28	59,515.52	56,841.05	56,401.77																																																																																								
