sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
bop-direct-investment-assets			14.54	77.36	67.86	71.79	236.81	52.99	66.80	65.10	63.90																																																																																										
bop-direct-investments-liabilities			433.87	743.47	1,614.04	1,372.72	898.08	679.66	893.60	932.60	941.10																																																																																										
bop-portfolio-investment-assets			0	0	0	-0.09	-0.01	0.02	-0.20	0	-10.00																																																																																										
bop-portfolio-investments-liabilities			-2,382.89	2,313.08	129.14	1,771.49	993.15	686.44	2,065	2,068.40	2,115.70																																																																																										
bop-other-investments-currency-and-deposits-assets			64.44	-92.68	79.55	78.33	4.82	142.69	275.70	-458.70	161.90																																																																																										
bop-other-investments-currency-and-deposits-liabilities			-14.77	167.49	-632.43	-228.36	-609.20	1,456.98	-292.20	107.70	446.70																																																																																										
bop-other-investments-loans-assets			0	0	0	0	0	0	0	0	0.00																																																																																										
bop-other-investments-loans-liabilities			326.57	-245.34	1,619.85	1,888.72	753.36	759.17	1,712.90	1,118.10	3,070.40																																																																																										
bop-other-investments-trade-credits-assets			-224.02	-3.84	176.79	34.63	-66.67	116.22	383	225.40	90.20																																																																																										
bop-other-investments-trade-credits-liabilities			184.87	-28.41	247.50	194.76	108.67	-400.64	-406.60	-234.90	-570.80																																																																																										
bop-other-investments-other-accounts-receivable-assets			23.78	196.37	115.75	-31.07	378.95	244.50	314.30	42.20	110.50																																																																																										
bop-other-investments-other-accounts-payable-liabilities			-113.63	24.11	-162.39	61.34	54.96	41.47	151.40	57.60	-562.70																																																																																										
bop-special-drawing-rigths-liabilities			0	0	0	0	0	0	0	0	0.00																																																																																										
bop-reserve-assets			-1,704.22	337.26	-1,001.91	2,784.29	-472.06	354.41	1,548.50	1,111.70	760.40																																																																																										
bop-reserve-assets-months-of-imports																																																																																																					
