sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Water Consumption-Revenue Billed-Western-Total			16,425.20	16,177.80	15,822.80	15,061.00	14,732.70	12,641.70	12,159.20	11,454.80	9,652.00	8,611.20	8,139.20	7,376.30	5,356.90	5,300.00	4,968.50	4,168.30	3,154.40	3,099.92	2,879.37	2,530.49	1,853.54																																																																														
Water Consumption-Revenue Billed-Southern-Total			3,152.30	3,042.50	2,921.80	2,744.60	2,640.30	2,319.60	2,254.70	2,015.90	1,580.00	1,383.40	1,240.50	1,063.50	821.70	608.00	588.50	482.40	370.20	369.59	306.28	263.21	208.25																																																																														
Water Consumption-Revenue Billed-Northern-Total			203.80	183.60	160.50	146.10	125.90	107.30	92.60	70.50	53.80	49.60	49.70	45.20	35.50	27.20	24.40	23.90	16.70	14.13	19.63	5.00	3.96																																																																														
Water Consumption-Revenue Billed-Uva-Total			846.00	815.70	760.70	718.10	687.40	584.80	575.90	521.60	441.30	398.00	372.60	322.40	206.80	197.60	180.40	158.40	136.50	128.84	119.79	110.20	86.89																																																																														
Water Consumption-Revenue Billed-Sabaragamuwa-Total			1,108.60	1,029.40	945.40	912.00	875.00	713.40	691.20	601.90	500.40	442.50	407.30	361.20	229.90	206.30	220.80	194.90	148.10	142.71	130.60	99.81	71.70																																																																														
Water Consumption-Revenue Billed-Sri Lanka-Total			28,731.70	7,489.60	26,232.10	24,872.60	24,036.30	20,484.80	19,695.20	18,161.50	15,331	13,319.80	12,415.60	11,119.30	7,875.50	7,422	6,946.90	5,844.30	4,460.40	4,368.18	3,986.45	3,488.70	2,708.20																																																																														
Water Consumption-Revenue Collected-Western-Total			14,190.40	16,438.30	16,382.00	15,343.00	14,550.80	13,045.10	12,324.80	11,491.50	9,359.00	8,468.40	8,072.50	6,975.70	5,315.80	5,695.70	4,886.90	4,257.00	3,530.70	3,416.47	2,761.11	2,430.78	1,830.20																																																																														
Water Consumption-Revenue Collected-Central-Total			2,331.00	2,333.60	2,181.60	2,130.70	1,934.00	1,681.50	1,574.00	1,462.90	1,308.70	1,078.40	934.50	772.60	525.40	414.10	375.30	315.80	252.40	234.26	169.50	148.60	117.17																																																																														
Water Consumption-Revenue Collected-Southern-Total			2,815.10	3,129.30	2,970.10	2,809.50	2,765.80	2,387.50	2,209.40	2,076.10	1,488.10	1,349.60	1,258.40	978.40	714.50	595.10	561.10	477.10	381.40	373.42	306.94	270.38	192.77																																																																														
Water Consumption-Revenue Collected-Northern-Total			188.20	190.30	171.50	144.30	125.40	106.90	95.30	73.30	57.40	47.20	48.20	35.00	27.70	23.40	19.50	16.50	18.80	14.60	10.46	5.25	3.90																																																																														
Water Consumption-Revenue Collected-Eastern-Total			1,913.40	1,947.70	1,788.80	1,669.90	1,313.10	1,085.40	993.60	819.20	586.40	556.60	513.50	420.40	262.00	257.70	209.70	190.20	168.40	164.69	147.78	112.00	85.54																																																																														
Water Consumption-Revenue Collected-North Western-Total			1,002.30	750.70	677.90	600.50	595.70	520.10	497.80	439.50	355.70	303.80	267.90	228.20	143.30	132.70	129.10	109.80	89.70	90.07	77.42	81.07	128.15																																																																														
Water Consumption-Revenue Collected-North Central-Total			1,336.20	1,376.60	1,212.50	1,176.70	1,067.70	930.10	894.10	791.20	657.10	582.40	547.10	450.00	289.40	261.80	232.00	214.40	174.60	194.72	144.34	112.03	111.37																																																																														
Water Consumption-Revenue Collected-Uva-Total			819.20	837.90	859.90	732.40	680.30	613.50	577.10	512.60	416.10	390.60	364.40	301.80	208.80	193.90	179.10	168.10	150.30	143.07	135.89	98.72	86.41																																																																														
Water Consumption-Revenue Collected-Sabaragamuwa-Total			1,025.80	1,078.40	1,004.40	938.80	859.00	719.00	682.00	601.30	476.10	411.10	421.00	339.40	303.90	204.20	222.40	203.30	158.30	146.74	144.22	92.36	72.39																																																																														
Water Consumption-Revenue Collected-Sri Lanka-Total			25,621.50	28,082.80	27,248.70	25,546.10	23,891.80	21,089.10	19,848.10	18,267.60	14,704.60	13,188.10	12,427.50	10,501.50	7,790.90	7,418.40	6,815.10	5,952.20	4,924.59	4,778.04	3,897.67	3,351.20	2,627.90																																																																														
