sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
number-of-banks-vavuniya						12	12	12	12	11	10	10	10	10	10	9	7	6																																																																																			
number-of-branches-ampara						100	100	100	97	92	89	89	89	84	79	65	53	47																																																																																			
number-of-branches-anuradhapura						109	109	106	106	108	107	105	99	94	88	81	76	72																																																																																			
number-of-branches-badulla						97	95	95	95	94	94	93	92	89	85	82	77	77																																																																																			
number-of-branches-batticoloa						75	74	74	74	73	72	72	72	70	67	53	42	29																																																																																			
number-of-branches-colombo						647	648	638	634	722	704	695	671	663	650	614	594	575																																																																																			
number-of-branches-galle						131	130	130	128	137	133	131	123	118	115	105	97	92																																																																																			
number-of-branches-hambantota						81	81	80	80	78	78	78	74	67	63	57	53	48																																																																																			
number-of-branches-jaffna						128	128	127	128	119	115	113	112	108	95	77	61	45																																																																																			
number-of-branches-kalutara						126	126	124	123	129	128	128	123	118	114	102	94	91																																																																																			
number-of-branches-kandy						190	190	188	186	182	177	174	167	163	154	140	134	126																																																																																			
number-of-branches-kegalle						90	88	88	88	94	92	90	87	87	84	79	74	71																																																																																			
number-of-branches-kilinochchi						19	19	19	19	16	15	15	15	15	13	7	3	3																																																																																			
number-of-branches-kurunegala						163	161	160	156	152	151	150	142	139	136	126	119	118																																																																																			
number-of-branches-manner						19	19	19	19	16	16	16	16	16	16	13	12	7																																																																																			
number-of-branches-matale						59	58	56	56	68	68	67	66	64	59	56	52	50																																																																																			
number-of-branches-matara						104	104	104	103	107	104	102	98	95	89	81	79	72																																																																																			
number-of-branches-monaragala						58	58	56	56	54	54	53	51	48	46	44	38	37																																																																																			
number-of-branches-mulativu						22	22	22	22	19	19	19	19	18	14	4	4	4																																																																																			
number-of-branches-nuwara-eliya						68	68	68	68	75	74	73	72	71	68	65	64	60																																																																																			
number-of-branches-polonnaruwa						55	54	53	53	56	51	51	51	50	46	41	36	33																																																																																			
number-of-branches-puttalam						102	102	100	98	110	107	105	103	101	94	85	75	70																																																																																			
number-of-branches-ratnapura						114	114	113	112	115	113	111	108	105	101	95	86	82																																																																																			
number-of-branches-trincomalee						54	54	54	54	53	53	53	51	50	47	35	32	24																																																																																			
number-of-branches-vavuniya						25	25	25	25	30	30	29	29	28	26	20	17	7																																																																																			
number-of-other-banking-outlets-ampara						133	133	147	147	147	147	147	146	146	145	145	145	137																																																																																			
number-of-other-banking-outlets-anuradhapura						243	243	188	188	188	188	188	188	188	186	186	186	171																																																																																			
number-of-other-banking-outlets-badulla						163	163	138	138	138	138	138	138	138	137	137	137	128																																																																																			
number-of-other-banking-outlets-batticoloa						91	91	52	52	52	52	52	48	43	43	43	43	43																																																																																			
number-of-other-banking-outlets-colombo						316	316	265	265	265	265	265	265	265	268	268	269	254																																																																																			
