sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
net-loans-and-advances						8,035,354	7,179,064	6,840,910	5,687,493	4,938,331	4,190,662	3,394,479	3,022,887	2,786,887	2,288,122	1,720,518	1,351,988	1,409,914	1,324,734	1,108,508	856,109	664,328	537,319	486,138	476,519	410,854	334,110	291,593																																																																									
net-non-performing-advances						178,158	190,967	123,979	59,431	49,123	55,704	64,131	102,343	52,454	39,865	46,642	60,904	40,706	26,055	20,599	17,263	20,253	29,824	37,760	43,483	27,941	27,578	25,628																																																																									
investments						3,382,534	2,395,947	2,154,370	2,008,038	1,735,286	1,813,136	1,393,978	1,223,967	869,033	717,222	763,758	652,837	454,041	348,510	297,774	261,414	234,259	229,587	175,451	123,280	109,807	83,943	76,287																																																																									
interest-income						984,242	1,036,497	948,171	826,393	637,558	486,794	460,733	499,523	418,678	293,177	267,386	299,044	286,560	231,778	156,200	111,268	83,533	80,292	80,818	85,567	67,891	56,006	54,176																																																																									
interest-expenses						615,805	658,448	595,904	525,671	373,888	260,807	270,247	321,141	244,446	153,079	139,893	184,766	183,570	143,502	84,777	57,848	40,955	41,786	49,376	60,058	43,357	36,684	32,874																																																																									
net-interest-income						368,437	378,049	352,267	300,722	263,670	225,988	190,486	178,382	174,232	140,098	127,493	114,277	102,989	88,276	71,423	53,421	42,578	38,506	31,442	25,509	24,534	19,322	21,302																																																																									
non-interest-income						135,059	126,866	141,150	112,996	97,532	91,697	85,969	76,979	71,715	53,659	51,756	49,333	46,463	36,226	31,341	28,010	27,441	24,562	17,252	16,710	14,183	12,037	12,982																																																																									
number-of-banks-ampara						12	12	12	12	12	12	12	12	12	11	9	8	6																																																																																			
number-of-banks-anuradhapura						11	11	11	11	12	12	12	12	11	11	10	10	10																																																																																			
number-of-banks-badulla						12	12	12	12	13	13	13	13	12	11	10	10	10																																																																																			
number-of-banks-batticoloa						13	13	13	13	13	13	13	13	13	13	10	7	6																																																																																			
number-of-banks-colombo						24	26	26	25	25	25	25	24	24	24	22	22	22																																																																																			
number-of-banks-galle						17	17	17	17	15	14	13	12	12	12	11	11	11																																																																																			
number-of-banks-hambantota						11	11	11	11	12	12	12	12	10	9	8	8	7																																																																																			
number-of-banks-jaffna						14	14	15	15	14	13	13	13	13	13	12	7	5																																																																																			
number-of-banks-kalutara						12	12	11	11	12	12	12	12	12	11	11	11	10																																																																																			
number-of-banks-kandy						16	16	17	17	16	15	15	15	15	15	14	14	13																																																																																			
number-of-banks-kegalle						12	12	12	12	12	12	11	10	10	10	10	10	9																																																																																			
number-of-banks-kilinochchi						8	8	8	8	8	8	8	8	8	7	6	2	2																																																																																			
number-of-banks-kurunegala						13	13	13	13	15	14	14	14	14	14	13	13	13																																																																																			
number-of-banks-manner						7	7	7	7	6	6	6	6	6	6	6	5	3																																																																																			
number-of-banks-matale						12	11	11	11	12	12	10	10	9	9	9	8	8																																																																																			
number-of-banks-matara						12	12	12	12	13	12	12	12	12	12	12	12	12																																																																																			
number-of-banks-monaragala						12	12	12	12	12	11	10	9	8	8	8	7	7																																																																																			
number-of-banks-mulativu						6	6	6	6	6	6	6	6	6	5	2	2	2																																																																																			
number-of-banks-nuwara-eliya						11	11	11	11	10	9	9	9	8	8	8	8	7																																																																																			
number-of-banks-polonnaruwa						12	12	12	12	11	11	11	11	10	9	8	8	8																																																																																			
number-of-banks-puttalam						13	13	13	12	13	13	13	13	12	12	11	11	10																																																																																			
number-of-banks-ratnapura						13	13	13	12	13	13	12	12	11	11	10	10	10																																																																																			
number-of-banks-trincomalee						12	12	12	12	12	12	10	10	9	8	8	7	6																																																																																			
