sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
co-operative-rural-banks--outstanding-total			71,091	62,331	72,788	55,488	49,770	45,130	37,757.00	39,520.00	51,371.00	30,781.00	44,398.00	67,424.00	9,775.00	9,321.00	8,944.00	8,248.00	6,859	4,205	3,326	5,663	5,150	4,409	3,279	3,363	1,067																																																																										
co-operative-rural-banks--outstanding-agriculture-&-animal-husbandry			3,976	3,089	2,579	2,690	2,796	4,475	2,344.00	2,083.00	4,759.00	1,162.00	2,952.00	n.a.	3,277.00	3,450.00	3,200.00	3,104.00	489	403	951	1,100	941	669	490	187	129																																																																										
co-operative-rural-banks--outstanding-small-industries			5,856	2,985	3,177	3,563	3,098	2,668	1,906.00	2,858.00	1,262.00	858.00	2,089.00	n.a.	618.00	509.00	506.00	469.00	926	138	280	302	274	291	213	93	43																																																																										
co-operative-rural-banks--outstanding-housing-electrification-&-water			37,327	30,883	37,218	29,370	24,810	21,094	12,983.00	14,013.00	24,160.00	14,462.00	15,703.00	n.a.	3,509.00	3,402.00	3,204.00	3,909.00	3,179	1,887	n.a.	n.a.	2,991	n.a.	2,010	599	584																																																																										
co-operative-rural-banks--outstanding-commerce-&-other-projects			8,350	8,663	10,782	6,504	5,440	5,854	7,737.00	8,298.00	17,607.00	2,774.00	6,059.00	n.a.	399.00	325.00	312.00	308.00	373	396	n.a.	n.a.	182	n.a.	406	193	158																																																																										
co-operative-rural-banks--outstanding-other			15,582	16,711	19,033	13,362	13,626	11,038	12,786.00	12,269.00	3,582.00	11,525.00	17,595.00	19,959.00	1,973.00	1,636.00	1,722.00	458.00	1,892	1,381	1,910	1,270	762	591	159	198	154																																																																										
