sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
national-milk-production		513.31	491.54	447.60	471.60	396.20	384.00	374.40	119.88	121.87	116.82	111.11	108.71	99.56	99.25	92.48	88.51	82.08	83.73	83.87	81.13	81.60	85.19	82.28	79.94	77.06																																																																											
egg-production		1,953.71	1,869.69	2,084.20	1,972.20	2,072.90	2,059.70	1,898.86	1,721.30	1,636.84	1,457.10	1,185.32	1,139.94	1,142.24	1,039.00	1,212.00	901.18	864.55	874.60	884.88	890.74	946.09	923.02	897.98	875.83	854.87																																																																											
beef-production		30.84	29.54	29.87	28.42	30.13	31.54	32.02	33.89	34.96	33.84	30.50	38.60	36.60	36.10	35.70	27.41	29.28	28.20	29.40	27.90	27.41	28.72	31.52	31.73	33.29																																																																											
mutton-production		1.98	1.96	1.81	1.63	1.42	1.40	1.35	1.80	1.80	1.60	1.72	1.71	1.72	1.68	1.60	1.58	1.49	1.43	1.41	1.61	1.58	1.69	1.65	1.61	1.91																																																																											
pork-production		9.44	9.00	9.00	10.43	7.89	7.28	7.18	7.06	7.04	7.03	6.70	10.40	11.80	11.10	14.90	12.50	11.00	10.30	2.16	1.86	1.95	1.75	1.65	1.92	2.15																																																																											
poultry-production		236.67	216.16	224.00	205.82	200.98	182.69	164.45	150.98	144.54	137.39	116.76	104.16	99.28	102.52	100.06	95.00	97.26	94.70	88.06	85.70	82.06	63.17	57.00	59.05	57.70																																																																											
