sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
performance-of-candidates-school-candidates-sat-for-gce-(o-l)				315,278	308,843	312,464	286,251	290,929	277,414	287,040	294,338	295,540	310,661	310,441	281,371	312,299	296,393	307,771	-	-	-	-	-																																																																														
performance-of-candidates-gce-(o-l)-school-candidates-:-percentage-of-qualifying-for-gce-(a-l)				73.84	73.31	71.03	69.94	67.15	66.55	64.21	62.39	58.11	58.79	48.51	56.81	49.14	48.72	47.72	-	-	-	-	-																																																																														
performance-of-candidates-all-candidates-sat-for-gce-(o-l)				334,474	328,464	326,424	293,218	314,635	298,549	308,054	312,832	313,834	328,984	313,560	282,582	333,562	316,413	328,449	-	-	-	-	-																																																																														
performance-of-candidates-gce-(o-l)-all-candidates-:-percentage-of-qualifying-for-gce-(a-l)				70.59	71.66	70.11	69.68	64.81	64.51	62.42	60.87	56.54	57.62	48.44	56.83	47.80	47.44	46.61	-	-	-	-	-																																																																														
performance-of-candidates-school-candidates-sat-for-gce-(a-l)				235,550	218,191	206,630	211,865	210,340	207,304	209,906	196,954	203,928	195,043	177,640	179,472	170,145	172,242	173,731	-	-	-	-	-																																																																														
performance-of-candidates-gce-(a-l)-school-candidates-:-qualifying-to-enter-university				154,905	141,172	136,421	134,238	131,137	126,971	122,913	124,434	120,846	120,281	108,725	112,866	104,479	103,557	102,854	-	-	-	-	-																																																																														
performance-of-candidates-gce-(a-l)-school-candidates-:-percentage-of-qualifying-to-enter-university				65.76	64.70	66.02	63.36	62.35	61.25	58.56	63.18	59.26	61.67	61.21	62.89	61.14	60.12	59.20	-	-	-	-	-																																																																														
performance-of-candidates-all-candidates-sat-for-gce-(a-l)				281,786	267,111	253,330	258,193	255,191	247,376	246,680	233,632	239,775	233,354	207,536	201,102	201,229	201,401	203,688	-	-	-	-	-																																																																														
performance-of-candidates-gce-(a-l)-all-candidates-:-qualifying-to-enter-university				181,126	167,907	163,104	160,520	155,447	149,489	143,695	144,819	141,411	142,415	125,146	130,141	121,422	119,877	118,770	-	-	-	-	-																																																																														
performance-of-candidates-gce-(a-l)-all-candidates-:-percentage-of-qualifying-to-enter-university				64.28	62.86	64.38	62.17	60.91	60.43	58.25	61.99	58.98	61.03	60.30	61.94	60.34	59.52	58.31	-	-	-	-	-																																																																														
